núm_corre,mes_ocu,día_ocu,día_sem_ocu,hora_ocu,g_hora,g_hora_5,depto_ocu,mupio_ocu,área_geo_ocu,zona_ocu,sexo_per,edad_per,mayor_menor,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,estado_con,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
86,1,5,1,18,4,3,16,1601,2,99,9,999,9,16,12,18,9,9,99,3,9999,6,1
87,1,5,1,18,4,3,16,1601,2,99,9,999,9,16,12,18,9,3,99,7,9999,6,1
88,1,5,1,7,2,1,15,1502,2,99,1,999,9,16,12,18,1,4,42,1,9999,6,1
89,1,5,1,7,2,1,15,1502,2,99,1,44,1,7,7,9,1,5,19,2,9999,6,1
90,1,5,1,9,2,1,3,302,2,99,1,48,1,8,8,10,1,3,32,11,1998,3,1
91,1,5,1,9,2,1,3,302,2,99,1,32,1,5,5,7,1,14,2,4,2004,4,1
92,1,6,2,11,2,1,1,101,1,12,1,14,2,1,1,3,9,1,20,2,9999,6,1
93,1,6,2,11,2,1,1,101,1,12,1,42,1,7,7,9,9,1,99,1,9999,6,1
94,1,6,2,7,2,1,20,2011,2,99,1,29,1,4,4,6,9,99,99,99,9999,6,1
95,1,6,2,7,2,1,20,2011,2,99,1,32,1,5,5,7,9,4,99,99,9999,6,2
96,1,6,2,4,1,1,10,1014,2,99,1,27,1,4,4,6,1,4,2,1,9999,6,3
97,1,6,2,4,1,1,13,1304,2,99,9,999,9,16,12,18,9,3,99,99,9999,6,3
98,1,6,2,16,3,2,2,201,2,99,1,22,1,3,3,5,9,4,42,5,9999,6,3
99,1,6,2,15,3,2,18,1804,2,99,1,25,1,4,4,6,9,4,99,99,9999,6,1
100,1,6,2,15,3,2,18,1804,2,99,9,999,9,16,12,18,9,6,99,2,9999,6,1
101,1,6,2,15,3,2,17,1712,2,99,1,18,1,2,2,4,9,4,99,99,9999,6,2
102,1,7,3,1,1,1,1,101,1,1,1,30,1,5,5,7,9,1,44,11,9999,6,1
103,1,7,3,1,1,1,1,101,1,1,1,77,1,14,11,16,9,12,22,99,9999,6,1
104,1,7,3,21,4,3,1,101,1,7,1,24,1,3,3,5,1,4,99,5,9999,6,1
105,1,7,3,21,4,3,1,101,1,7,9,999,9,16,12,18,9,1,99,99,9999,6,1
106,1,7,3,2,1,1,5,509,2,99,1,22,1,3,3,5,9,4,99,99,9999,6,4
107,1,7,3,19,4,3,10,1021,2,99,1,65,1,12,11,14,9,4,21,99,9999,6,1
108,1,7,3,19,4,3,10,1021,2,99,1,22,1,3,3,5,9,4,21,5,2012,5,1
109,1,7,3,7,2,1,11,1107,2,99,1,49,1,8,8,10,9,4,99,99,9999,6,2
110,1,7,3,18,4,3,2,204,2,99,1,53,1,9,9,11,1,9,44,4,2008,4,1
111,1,7,3,18,4,3,2,204,2,99,1,30,1,5,5,7,2,3,44,11,9999,6,1
112,1,8,4,15,3,2,1,101,1,11,2,51,1,9,9,11,9,2,20,4,2005,4,1
113,1,8,4,15,3,2,1,101,1,11,2,23,1,3,3,5,9,1,46,99,2011,5,1
114,1,8,4,22,4,3,1,110,2,99,1,30,1,5,5,7,9,1,5,2,9999,6,1
115,1,8,4,22,4,3,1,110,2,99,1,25,1,4,4,6,9,1,47,5,9999,6,1
116,1,8,4,18,4,3,22,2206,2,99,1,49,1,8,8,10,9,3,99,8,1987,2,3
117,1,8,4,21,4,3,11,1103,2,99,1,40,1,7,7,9,9,3,44,3,2009,4,2
118,1,8,4,20,4,3,9,901,1,3,1,29,1,4,4,6,2,2,37,9,1985,2,1
119,1,8,4,20,4,3,9,901,1,3,1,39,1,6,6,8,9,1,30,6,2002,4,1
120,1,8,4,11,2,1,12,1218,2,99,9,999,9,16,12,18,9,1,44,9,1996,3,1
121,1,8,4,11,2,1,12,1218,2,99,1,22,1,3,3,5,9,14,99,99,9999,6,1
122,1,8,4,0,1,1,17,1710,2,99,1,39,1,6,6,8,9,2,99,6,9999,6,4
123,1,9,5,20,4,3,1,101,1,1,1,29,1,4,4,6,9,2,30,2,9999,6,1
124,1,9,5,20,4,3,1,101,1,1,1,20,1,3,3,5,9,4,21,9,9999,6,1
125,1,9,5,23,4,3,1,101,1,6,1,40,1,7,7,9,9,1,44,1,9999,6,1
126,1,9,5,23,4,3,1,101,1,6,1,20,1,3,3,5,9,4,24,5,9999,6,1
127,1,9,5,22,4,3,22,2201,2,99,1,28,1,4,4,6,9,3,44,3,9999,6,1
128,1,9,5,22,4,3,22,2201,2,99,9,999,9,16,12,18,9,3,99,99,9999,6,1
129,1,9,5,14,3,2,11,1101,2,99,9,999,9,16,12,18,9,2,99,99,9999,6,2
130,1,9,5,21,4,3,14,1420,2,99,1,32,1,5,5,7,9,9,37,4,9999,6,1
131,1,10,6,12,3,2,1,103,2,99,1,30,1,5,5,7,9,4,37,5,9999,6,1
132,1,10,6,12,3,2,1,103,2,99,1,30,1,5,5,7,9,4,10,4,9999,6,1
133,1,10,6,10,2,1,1,101,1,10,1,54,1,9,9,11,9,2,44,11,9999,6,1
134,1,10,6,10,2,1,1,101,1,10,1,26,1,4,4,6,9,2,44,11,9999,6,1
135,1,10,6,5,1,1,1,102,2,99,9,999,9,16,12,18,9,4,99,99,9999,6,2
136,1,10,6,12,3,2,1,115,2,99,1,50,1,9,9,11,9,4,99,1,9999,6,1
137,1,10,6,22,4,3,1,114,2,99,1,50,1,9,9,11,9,1,21,2,9999,6,2
138,1,10,6,13,3,2,1,117,2,9,9,999,9,16,12,18,9,3,99,99,9999,6,2
139,1,10,6,7,2,1,1,108,1,4,1,25,1,4,4,6,9,1,32,3,1993,3,1
140,1,10,6,7,2,1,1,108,1,4,9,999,9,16,12,18,9,1,32,3,2007,4,1
141,1,10,6,19,4,3,21,2101,1,99,1,27,1,4,4,6,9,1,44,3,2000,4,1
142,1,10,6,19,4,3,21,2101,1,99,2,19,1,2,2,4,9,4,42,3,2007,4,1
143,1,10,6,21,4,3,5,507,2,99,1,999,9,16,12,18,9,99,99,99,9999,6,1
144,1,10,6,21,4,3,5,507,2,99,1,26,1,4,4,6,9,4,99,3,9999,6,1
145,1,10,6,17,3,2,10,1001,1,99,1,44,1,7,7,9,9,4,99,1,2013,5,1
146,1,10,6,17,3,2,10,1001,1,99,1,44,1,7,7,9,9,14,99,99,9999,6,1
147,1,10,6,7,2,1,10,1001,2,9,1,29,1,4,4,6,9,5,44,1,1992,3,3
148,1,10,6,13,3,2,9,901,1,9,9,999,9,16,12,18,9,3,99,99,9999,6,2
149,1,10,6,18,4,3,13,1301,1,11,1,53,1,9,9,11,9,3,44,2,2015,5,1
150,1,10,6,18,4,3,13,1301,1,11,1,19,1,2,2,4,9,4,42,3,2006,4,1
151,1,10,6,11,2,1,16,1601,2,99,1,26,1,4,4,6,9,3,37,3,9999,6,1
152,1,10,6,11,2,1,16,1601,2,99,1,38,1,6,6,8,9,5,19,6,9999,6,1
153,1,10,6,11,2,1,18,1801,1,99,1,54,1,9,9,11,9,9,44,3,2006,4,1
154,1,10,6,11,2,1,18,1801,1,99,1,28,1,4,4,6,9,4,21,3,2006,4,1
155,1,10,6,17,3,2,14,1405,1,99,1,35,1,6,6,8,9,3,44,9,1994,3,3
156,1,10,6,12,3,2,4,410,2,99,1,21,1,3,3,5,9,1,21,6,2000,4,1
157,1,10,6,12,3,2,4,410,2,99,1,38,1,6,6,8,9,4,99,99,9999,6,1
158,1,11,7,14,3,2,1,101,2,1,1,30,1,5,5,7,2,1,44,5,2000,4,1
159,1,11,7,14,3,2,1,101,2,1,1,39,1,6,6,8,1,1,30,4,2006,4,1
160,1,11,7,1,1,1,1,101,1,18,1,33,1,5,5,7,1,3,44,5,9999,6,1
161,1,11,7,1,1,1,1,101,1,18,1,21,1,3,3,5,1,4,2,5,9999,6,1
162,1,11,7,15,3,2,1,101,1,18,1,50,1,9,9,11,1,3,9,1,9999,6,2
163,1,11,7,15,3,2,1,115,2,12,1,29,1,4,4,6,1,4,21,5,9999,6,3
164,1,11,7,11,2,1,1,117,1,9,1,23,1,3,3,5,1,4,2,5,2014,5,2
165,1,11,7,0,1,1,1,115,2,99,1,28,1,4,4,6,1,4,99,5,9999,6,4
166,1,11,7,0,1,1,5,501,2,99,1,35,1,6,6,8,1,4,99,99,9999,6,2
167,1,11,7,11,2,1,6,602,2,99,1,28,1,4,4,6,1,1,44,2,2010,5,1
168,1,11,7,11,2,1,6,602,2,99,1,36,1,6,6,8,1,9,44,2,2012,5,1
169,1,11,7,17,3,2,6,602,2,99,1,40,1,7,7,9,2,4,99,5,9999,6,1
170,1,11,7,18,4,3,11,1101,2,99,1,29,1,4,4,6,2,4,42,1,9999,6,2
171,1,11,7,21,4,3,9,920,2,99,1,38,1,6,6,8,1,9,34,2,9999,6,1
172,1,11,7,21,4,3,9,920,2,99,1,27,1,4,4,6,1,9,44,2,2006,4,1
173,1,11,7,23,4,3,16,1601,2,99,1,42,1,7,7,9,1,3,44,5,9999,6,1
174,1,11,7,0,1,1,18,1801,2,99,1,19,1,2,2,4,2,4,99,99,9999,6,2
175,1,11,7,22,4,3,4,401,2,99,1,32,1,5,5,7,1,3,44,3,9999,6,1
176,1,11,7,22,4,3,4,401,2,99,9,999,9,16,12,18,1,3,44,6,9999,6,1
177,1,11,7,9,2,1,3,301,2,99,1,43,1,7,7,9,1,3,30,2,9999,6,1
178,1,11,7,9,2,1,3,301,2,99,1,29,1,4,4,6,1,3,20,2,2012,5,1
179,1,12,1,23,4,3,1,101,1,9,1,49,1,8,8,10,1,4,24,1,9999,6,2
180,1,12,1,10,2,1,1,113,2,99,1,35,1,6,6,8,1,3,44,9,1989,2,1
181,1,12,1,10,2,1,1,113,2,99,1,31,1,5,5,7,1,4,20,9,9999,6,1
182,1,12,1,23,4,3,1,101,1,11,1,22,1,3,3,5,1,4,40,3,9999,6,2
183,1,12,1,8,2,1,1,108,2,10,1,23,1,3,3,5,1,4,59,4,2014,5,1
184,1,12,1,8,2,1,1,108,2,10,1,39,1,6,6,8,1,4,24,4,2010,5,1
185,1,12,1,8,2,1,5,501,2,99,1,32,1,5,5,7,1,3,44,1,1987,2,3
186,1,12,1,0,1,1,5,501,2,99,1,58,1,10,10,12,1,6,15,2,9999,6,1
187,1,12,1,0,1,1,5,501,2,99,1,21,1,3,3,5,1,3,44,4,9999,6,1
188,1,12,1,23,4,3,9,901,2,99,1,26,1,4,4,6,1,6,15,2,9999,6,2
189,1,12,1,15,3,2,12,1208,2,99,1,30,1,5,5,7,1,3,44,2,9999,6,2
190,1,12,1,14,3,2,2,201,2,99,1,33,1,5,5,7,1,4,2,1,9999,6,2
191,1,13,2,15,3,2,1,101,1,1,1,40,1,7,7,9,1,9,37,4,2008,4,1
192,1,13,2,15,3,2,1,101,1,1,1,27,1,4,4,6,1,3,37,2,2006,4,1
193,1,13,2,9,2,1,22,2216,2,99,1,22,1,3,3,5,1,5,23,2,9999,6,1
194,1,13,2,9,2,1,22,2216,2,99,1,40,1,7,7,9,1,5,15,3,9999,6,1
195,1,13,2,20,4,3,22,2201,2,99,1,21,1,3,3,5,1,3,99,1,9999,6,1
196,1,13,2,20,4,3,22,2201,2,99,1,59,1,10,10,12,1,1,44,6,9999,6,1
197,1,13,2,12,3,2,18,1801,2,99,1,40,1,7,7,9,1,5,19,2,2002,4,1
198,1,13,2,12,3,2,18,1801,2,99,1,34,1,5,5,7,1,11,34,2,9999,6,1
199,1,14,3,4,1,1,1,101,1,3,1,32,1,5,5,7,1,1,44,5,1982,2,1
200,1,14,3,4,1,1,1,101,1,3,1,36,1,6,6,8,1,1,20,5,9999,6,1
201,1,14,3,23,4,3,1,101,1,6,1,38,1,6,6,8,2,1,99,99,9999,6,1
202,1,14,3,23,4,3,1,101,1,6,1,40,1,7,7,9,9,2,99,99,9999,6,1
203,1,14,3,8,2,1,1,101,1,18,1,20,1,3,3,5,9,4,37,1,9999,6,1
204,1,14,3,8,2,1,1,101,1,18,9,999,9,16,12,18,9,99,99,99,9999,6,1
205,1,14,3,12,3,2,1,101,1,13,1,999,9,16,12,18,1,1,44,2,1998,3,1
206,1,14,3,12,3,2,1,101,1,13,2,40,1,7,7,9,1,1,44,3,2007,4,1
207,1,14,3,11,2,1,1,115,1,12,1,29,1,4,4,6,1,1,21,2,2004,4,1
208,1,14,3,11,2,1,1,115,1,12,1,17,2,2,2,4,1,4,49,5,9999,6,1
209,1,14,3,23,4,3,1,101,1,11,1,48,1,8,8,10,9,9,99,99,9999,6,1
210,1,14,3,23,4,3,1,101,1,11,1,53,1,9,9,11,9,99,30,2,9999,6,1
211,1,14,3,11,2,1,1,110,1,1,1,25,1,4,4,6,1,4,99,1,9999,6,1
212,1,14,3,11,2,1,1,110,1,1,9,999,9,16,12,18,9,1,99,4,9999,6,1
213,1,14,3,19,4,3,20,2001,2,1,1,33,1,5,5,7,9,4,42,5,2012,5,1
214,1,14,3,19,4,3,20,2001,2,1,2,44,1,7,7,9,9,4,42,1,2007,4,1
215,1,14,3,23,4,3,19,1901,2,99,1,17,2,2,2,4,2,4,42,1,9999,6,4
216,1,14,3,21,4,3,5,509,2,99,1,30,1,5,5,7,9,4,99,99,9999,6,2
217,1,14,3,21,4,3,10,1001,2,99,1,56,1,10,10,12,2,3,44,4,2001,4,1
218,1,14,3,21,4,3,10,1001,2,99,9,999,9,16,12,18,9,5,33,2,9999,6,1
219,1,14,3,13,3,2,12,1210,2,99,1,32,1,5,5,7,2,3,44,9,1998,3,1
220,1,14,3,13,3,2,12,1210,2,99,1,35,1,6,6,8,9,99,99,99,9999,6,1
221,1,14,3,1,1,1,13,1301,2,99,1,26,1,4,4,6,9,4,99,99,9999,6,1
222,1,14,3,1,1,1,13,1301,2,99,9,999,9,16,12,18,9,99,99,99,9999,6,1
223,1,14,3,9,2,1,18,1805,2,99,1,38,1,6,6,8,9,6,22,99,1999,3,1
224,1,14,3,9,2,1,18,1805,2,99,1,39,1,6,6,8,9,3,37,99,2011,5,1
225,1,14,3,12,3,2,17,1708,2,99,1,32,1,5,5,7,9,5,19,2,1989,2,1
226,1,14,3,12,3,2,17,1708,2,99,1,54,1,9,9,11,9,5,19,2,1995,3,1
227,1,15,4,15,3,2,1,101,1,11,1,22,1,3,3,5,9,1,32,11,9999,6,1
228,1,15,4,15,3,2,1,101,1,11,2,63,1,11,11,13,9,1,44,2,9999,6,1
229,1,15,4,3,1,1,5,509,2,99,1,22,1,3,3,5,9,4,14,99,9999,6,4
230,1,15,4,17,3,2,9,920,2,99,1,23,1,3,3,5,9,1,9,14,1980,2,1
231,1,15,4,17,3,2,9,920,2,99,1,29,1,4,4,6,9,4,99,99,9999,6,1
232,1,16,5,23,4,3,1,101,1,12,1,20,1,3,3,5,9,4,99,1,9999,6,1
233,1,16,5,23,4,3,1,101,1,12,1,31,1,5,5,7,9,6,22,2,9999,6,1
234,1,16,5,22,4,3,19,1906,2,99,1,26,1,4,4,6,1,3,37,2,1987,2,1
235,1,16,5,22,4,3,19,1906,2,99,9,999,9,16,12,18,9,1,37,2,9999,6,1
236,1,16,5,1,1,1,5,501,2,99,1,26,1,4,4,6,9,1,44,2,1999,3,1
237,1,16,5,1,1,1,5,501,2,99,1,52,1,9,9,11,9,5,33,2,1989,2,1
238,1,16,5,6,2,1,5,505,2,99,1,23,1,3,3,5,9,4,21,99,9999,6,1
239,1,16,5,6,2,1,5,505,2,99,9,999,9,16,12,18,9,6,15,99,2000,4,1
240,1,16,5,18,4,3,10,1020,2,99,1,60,1,11,11,13,1,12,22,7,1990,3,1
241,1,16,5,18,4,3,10,1020,2,99,1,32,1,5,5,7,9,7,99,99,1997,3,1
242,1,16,5,16,3,2,9,909,2,99,9,999,9,16,12,18,9,1,13,1,2001,4,1
243,1,16,5,16,3,2,9,909,2,99,1,53,1,9,9,11,9,3,44,1,1993,3,4
244,1,16,5,7,2,1,2,206,2,99,1,37,1,6,6,8,9,1,21,9,9999,6,3
245,1,16,5,10,2,1,17,1710,2,99,1,35,1,6,6,8,9,4,99,99,9999,6,1
246,1,16,5,10,2,1,17,1710,2,99,9,999,9,16,12,18,9,12,99,7,9999,6,1
247,1,16,5,15,3,2,17,1710,2,99,1,999,9,16,12,18,9,3,44,4,9999,6,2
248,1,16,5,23,4,3,7,701,2,99,1,34,1,5,5,7,2,4,99,99,9999,6,4
249,1,17,6,18,4,3,1,101,1,1,1,38,1,6,6,8,2,1,44,5,2007,4,1
250,1,17,6,9,2,1,1,115,1,5,1,27,1,4,4,6,9,1,5,2,1998,3,1
251,1,17,6,9,2,1,1,115,1,5,2,27,1,4,4,6,9,1,42,4,2006,4,1
252,1,17,6,23,4,3,1,115,1,3,1,48,1,8,8,10,1,1,47,99,2000,4,1
253,1,17,6,23,4,3,1,115,1,3,1,999,9,16,12,18,9,4,99,3,9999,6,1
254,1,17,6,19,4,3,1,116,1,4,2,18,1,2,2,4,9,4,99,99,9999,6,2
255,1,17,6,8,2,1,1,108,1,4,1,23,1,3,3,5,9,1,37,7,1998,3,2
256,1,17,6,18,4,3,22,2205,2,99,1,22,1,3,3,5,2,4,99,99,9999,6,1
257,1,17,6,18,4,3,22,2205,2,99,1,45,1,8,8,10,1,14,2,1,2013,5,1
258,1,17,6,0,1,1,22,2201,2,99,1,26,1,4,4,6,9,1,99,99,9999,6,2
259,1,17,6,10,2,1,22,2212,2,99,9,999,9,16,12,18,9,12,99,99,9999,6,1
260,1,17,6,10,2,1,22,2212,2,99,1,34,1,5,5,7,9,3,44,9,9999,6,1
261,1,17,6,14,3,2,5,501,2,99,1,34,1,5,5,7,9,2,20,5,9999,6,2
262,1,17,6,11,2,1,10,1006,2,99,1,46,1,8,8,10,9,4,21,3,2014,5,1
263,1,17,6,11,2,1,10,1006,2,99,1,22,1,3,3,5,9,4,14,2,9999,6,1
264,1,17,6,23,4,3,10,1001,2,99,2,28,1,4,4,6,9,4,99,99,9999,6,4
265,1,17,6,15,3,2,12,1215,2,99,1,25,1,4,4,6,2,14,2,1,9999,6,1
266,1,17,6,15,3,2,12,1215,2,99,9,999,9,16,12,18,9,9,5,2,9999,6,1
267,1,17,6,23,4,3,12,1211,2,99,1,34,1,5,5,7,9,1,21,99,9999,6,2
268,1,17,6,17,3,2,12,1212,2,99,1,36,1,6,6,8,2,2,13,3,2001,4,2
269,1,17,6,16,3,2,16,1601,2,99,1,17,2,2,2,4,9,4,99,99,9999,6,1
270,1,17,6,16,3,2,16,1601,2,99,9,999,9,16,12,18,9,99,99,99,9999,6,1
271,1,17,6,21,4,3,16,1607,2,99,1,23,1,3,3,5,2,14,2,1,2011,5,2
272,1,17,6,22,4,3,15,1503,2,99,1,34,1,5,5,7,9,3,37,3,1998,3,2
273,1,17,6,14,3,2,2,205,2,99,1,72,1,13,11,15,9,3,44,3,1986,2,1
274,1,17,6,14,3,2,2,205,2,99,1,26,1,4,4,6,2,4,42,5,1986,2,1
275,1,17,6,20,4,3,18,1801,2,99,1,29,1,4,4,6,9,4,42,5,2013,5,1
276,1,17,6,20,4,3,18,1801,2,99,1,54,1,9,9,11,9,12,19,8,1989,2,1
