num_hecho,dia_ocu,mes_ocu,año_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,sexo_pil,edad_pil,g_edad_pil,estado_pil,tipo_vehi,color_vehi,modelo_vehi,causa_acc
2437,20,8,9,4,10,9,2,1,58,1,9,3,11,1986,1
693,2,3,9,1,6,5,1,1,58,1,9,3,1,1989,1
947,26,3,9,4,16,3,2,1,58,1,9,3,3,9999,1
1639,6,6,9,6,0,3,2,1,58,1,9,3,1,9999,1
2022,20,7,9,1,13,13,2,1,58,1,9,3,4,1985,3
955,27,3,9,5,7,11,2,1,58,1,9,6,1,1993,1
2135,2,8,9,7,8,1,1,1,58,1,9,6,7,9999,2
2205,2,8,9,7,8,1,1,1,58,1,9,6,7,9999,2
2275,2,8,9,7,8,1,1,1,58,1,9,6,7,9999,2
2812,4,10,9,7,15,1,1,1,58,1,9,11,2,2008,1
2870,12,10,9,1,7,1,1,1,58,1,9,12,1,1994,4
683,1,3,9,7,20,3,2,1,58,1,2,1,2,1992,1
2805,3,10,9,6,20,1,1,1,58,1,2,3,3,9999,1
2984,24,10,9,6,12,1,1,1,58,1,1,1,2,1995,1
563,20,2,9,5,11,18,2,1,58,1,1,1,4,9999,1
49,4,1,9,7,19,18,2,1,58,1,1,2,99,9999,1
2605,8,9,9,2,14,9,2,1,58,1,1,3,5,1997,1
3106,7,11,9,6,16,19,2,2,58,1,1,3,1,2004,1
1506,19,5,9,2,10,10,1,1,58,1,1,5,2,1983,1
1062,7,4,9,2,12,22,2,1,58,1,1,5,2,1998,1
1246,23,4,9,4,21,16,2,1,58,1,1,5,2,2003,1
2543,30,8,9,7,8,21,1,1,58,1,1,5,7,9999,1
2832,6,10,9,2,19,1,1,1,58,1,1,7,7,1998,1
1737,18,6,9,4,20,2,2,1,58,1,1,11,2,2003,1
206,19,1,9,1,12,7,2,1,58,1,1,14,99,9999,3
3222,25,11,9,3,0,4,2,1,59,1,9,4,99,9999,4
2816,4,10,9,7,15,16,2,1,59,1,9,5,2,9999,4
2185,6,8,9,4,6,4,2,1,59,1,9,6,2,1990,1
2255,6,8,9,4,6,4,2,1,59,1,9,6,2,1990,1
2325,6,8,9,4,6,4,2,1,59,1,9,6,2,1990,1
542,18,2,9,3,13,18,2,1,59,1,2,5,99,9999,1
2491,24,8,9,1,19,13,1,1,59,1,1,1,2,1996,1
3213,24,11,9,2,17,18,2,1,59,1,1,1,6,1998,1
40,4,1,9,7,22,1,1,1,59,1,1,1,1,2001,1
2102,30,7,9,4,16,2,2,2,59,1,1,1,4,2007,1
1324,2,5,9,6,17,5,2,1,59,1,1,1,6,9999,1
3278,5,12,9,6,5,9,2,1,59,1,1,3,9,9999,4
3499,28,12,9,1,10,3,2,1,59,1,1,5,7,1985,1
812,12,3,9,4,20,13,1,1,59,1,1,5,2,9999,1
2412,17,8,9,1,2,1,1,1,60,1,9,1,1,9999,1
1039,5,4,9,7,22,1,1,2,60,1,9,2,9,1995,2
1617,5,6,9,5,12,22,2,1,60,1,9,3,6,2004,1
1922,9,7,9,4,12,14,2,1,60,1,9,3,99,9999,4
993,30,3,9,1,23,9,2,1,60,1,9,4,1,9999,2
1204,19,4,9,7,6,13,2,1,60,1,2,3,11,1995,1
1967,14,7,9,2,15,1,1,1,60,1,2,12,1,9999,1
1316,1,5,9,5,17,1,2,1,60,1,1,1,4,1999,1
873,18,3,9,3,16,10,2,1,60,1,1,2,4,2004,1
2982,23,10,9,5,19,4,2,1,60,1,1,3,1,9999,1
2477,23,8,9,7,6,19,2,1,60,1,1,5,11,1992,1
3039,30,10,9,5,17,1,1,1,61,1,9,1,4,9999,1
3387,18,12,9,5,5,2,2,1,61,1,9,3,2,1999,2
588,22,2,9,7,14,1,1,1,61,1,1,1,3,9999,1
319,31,1,9,6,17,19,2,1,61,1,1,2,2,9999,4
403,7,2,9,6,9,11,2,1,61,1,1,3,2,1983,1
834,14,3,9,6,10,10,2,1,61,1,1,3,9,1992,1
1182,18,4,9,6,17,1,1,1,61,1,1,3,11,2007,1
1179,17,4,9,5,20,1,1,1,61,1,1,3,99,9999,1
468,13,2,9,5,8,1,2,1,61,1,1,6,7,9999,1
1732,18,6,9,4,17,5,2,1,61,1,1,7,99,9999,1
2671,16,9,9,3,15,1,2,1,61,1,1,9,7,1991,1
800,10,3,9,2,6,3,2,1,62,1,9,2,2,1987,1
2554,31,8,9,1,17,5,2,1,62,1,9,3,2,1994,1
600,22,2,9,7,12,6,2,2,62,1,9,7,3,9999,1
2744,26,9,9,6,22,6,2,1,62,1,9,8,1,9999,4
768,8,3,9,7,19,6,2,1,62,1,2,3,14,1983,1
1448,13,5,9,3,19,14,1,1,62,1,2,3,9,1990,1
3206,23,11,9,1,21,13,2,1,62,1,2,3,3,9999,1
836,14,3,9,6,18,16,1,1,62,1,2,9,11,9999,1
1108,11,4,9,6,11,8,2,1,62,1,1,2,1,1996,3
915,23,3,9,1,0,11,2,1,62,1,1,3,16,1995,1
