núm_corre,día_ocu,año_ocu,hora_ocu,mes_ocu,día_sem_ocu,mupio_ocu,depto_ocu,área_geo_ocu,zona_ocu,sexo_per,edad_per,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,tipo_eve,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,g_hora,g_hora_5,g_modelo_veh,fall_les,int_o_noint
5737,7,2016,0,9,3,409,4,2,99,1,4,2,1,69,99,9999,2,1,1,1,1,1,6,2,2
5738,7,2016,0,9,3,401,4,2,99,1,16,2,4,999,99,9999,1,2,2,4,1,1,6,2,1
5739,8,2016,17,9,4,101,1,1,13,1,28,1,4,999,2,9999,1,4,4,6,3,2,6,1,2
5740,8,2016,6,9,4,101,1,1,18,1,20,1,4,20,3,9999,1,3,3,5,2,1,6,2,1
5741,8,2016,6,9,4,101,1,1,18,2,20,1,4,20,3,9999,1,3,3,5,2,1,6,2,1
5742,8,2016,12,9,4,101,1,1,6,1,18,1,5,52,2,9999,1,2,2,4,3,2,6,2,1
5743,8,2016,18,9,4,102,1,2,99,1,73,1,12,50,1,9999,2,13,11,15,4,3,6,1,2
5744,8,2016,17,9,4,101,1,1,13,1,999,1,4,64,5,9999,1,16,12,18,3,2,6,1,2
5745,8,2016,19,9,4,511,5,1,99,1,37,1,4,32,5,9999,1,6,6,8,4,3,6,2,1
5746,9,2016,3,9,5,101,1,1,10,1,25,1,1,28,7,2002,2,4,4,6,1,1,4,2,1
5747,9,2016,3,9,5,101,1,1,10,1,22,1,1,28,7,2002,2,3,3,5,1,1,4,2,2
5748,9,2016,3,9,5,101,1,1,10,1,30,1,1,28,7,2002,2,5,5,7,1,1,4,2,1
5749,9,2016,19,9,5,101,1,1,5,1,26,1,4,6,3,2015,1,4,4,6,4,3,5,2,2
5750,9,2016,23,9,5,101,1,1,13,1,48,1,1,999,4,9999,2,8,8,10,4,3,6,2,1
5751,9,2016,21,9,5,101,1,1,12,1,28,1,4,25,1,2013,1,4,4,6,4,3,5,2,1
5752,9,2016,17,9,5,2007,20,2,99,1,25,1,18,999,3,9999,1,4,4,6,3,2,6,1,2
5753,9,2016,21,9,5,602,6,2,99,1,16,2,18,999,1,9999,1,2,2,4,4,3,6,2,1
