,num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,sexo_pil,edad_pil,g_edad_pil,estado_pil,tipo_vehi,color_vehi,modelo_vehi,causa_acc,year,zona_ocu
148,1872,4,7,6,1,1,1,1,19,1,9,1,2,9999,2,2009,99
149,2090,29,7,3,3,1,1,1,19,1,9,1,3,1988,3,2009,99
150,3189,22,11,7,11,1,2,1,19,1,9,1,4,2003,4,2009,99
151,3483,27,12,7,16,1,1,1,19,1,9,2,9,9999,1,2009,99
152,1328,2,5,6,18,3,2,1,19,1,9,3,2,1991,1,2009,99
153,837,14,3,6,7,18,2,1,19,1,9,3,2,9999,1,2009,99
154,2522,27,8,4,0,1,1,1,19,1,9,3,99,9999,1,2009,99
155,3047,31,10,6,16,19,2,1,19,1,9,3,1,2003,4,2009,99
156,1963,13,7,1,11,13,2,1,19,1,9,3,99,9999,4,2009,99
157,899,21,3,6,15,18,2,1,19,1,9,4,1,1981,1,2009,99
158,2331,7,8,5,13,12,1,1,19,1,9,4,3,1999,1,2009,99
159,3469,25,12,5, ,1,1,1,19,1,9,4,2,2006,1,2009,99
160,605,23,2,1,15,1,1,1,19,1,9,4,1,2008,1,2009,99
161,2848,9,10,5,12,18,1,1,19,1,9,4,1,2008,1,2009,99
162,638,26,2,4,20,18,2,1,19,1,9,4,1,9999,1,2009,99
163,1015,2,4,4,9,13,2,1,19,1,9,4,4,9999,1,2009,99
164,1128,11,4,6,16,16,2,1,19,1,9,4,1,9999,1,2009,99
165,2851,9,10,5,20,1,2,1,19,1,9,4,3,9999,1,2009,99
166,3271,4,12,5,23,1,2,1,19,1,9,4,1,9999,1,2009,99
167,3385,18,12,5,21,1,1,1,19,1,9,4,5,9999,1,2009,99
168,838,14,3,6,17,17,2,1,19,1,9,4,99,9999,2,2009,99
169,2686,18,9,5,1,1,1,1,19,1,9,4,5,9999,2,2009,99
170,2968,22,10,4,8,13,1,1,19,1,9,4,5,9999,2,2009,99
171,3359,15,12,2,0,12,1,1,19,1,9,4,2,9999,2,2009,99
172,3317,9,12,3,0,19,2,1,19,1,9,4,4,2005,4,2009,99
173,2992,25,10,7,9,5,2,1,19,1,9,4,5,9999,4,2009,99
174,2895,15,10,4,2,14,2,1,19,1,9,5,2,9999,4,2009,99
175,928,24,3,2,17,3,2,1,19,1,9,9,4,9999,1,2009,99
176,839,14,3,6,3,1,1,1,19,1,2,1,1,2001,1,2009,99
177,1689,13,6,6,20,9,2,1,19,1,2,3,9,1990,1,2009,99
178,1775,22,6,1,18,7,1,1,19,1,2,3,6,2000,1,2009,99
179,2777,29,9,2,0,10,1,1,19,1,2,3,4,9999,1,2009,99
180,2978,23,10,5,13,13,2,1,19,1,2,3,6,9999,1,2009,99
181,511,15,2,7,18,15,1,1,19,1,2,3,9,1991,2,2009,99
182,1549,24,5,7,3,10,2,1,19,1,2,4,99,2006,1,2009,99
183,90,10,1,6,0,10,2,1,19,1,2,4,1,2008,1,2009,99
184,1088,9,4,4,0,17,2,1,19,1,2,4,5,9999,1,2009,99
185,1755,20,6,6,1,3,2,1,19,1,2,4,6,2008,4,2009,99
186,1217,20,4,1,16,5,1,1,19,1,2,4,3,9999,4,2009,99
187,2906,16,10,5,16,7,2,1,19,1,2,14,1,9999,1,2009,99
188,316,31,1,6,2,1,1,1,19,1,1,1,6,1994,1,2009,99
189,2918,17,10,6,21,1,1,1,19,1,1,1,5,1997,1,2009,99
190,2435,20,8,4,20,1,1,1,19,1,1,1,3,2000,1,2009,99
191,2486,24,8,1,16,1,1,2,19,1,1,1,5,2003,1,2009,99
192,2021,20,7,1,1,9,1,1,19,1,1,1,3,2005,1,2009,99
193,418,8,2,7,10,1,1,1,19,1,1,1,99,9999,1,2009,99
194,1607,3,6,3,22,1,1,1,19,1,1,1,1,9999,1,2009,99
195,2095,30,7,4,3,1,1,1,19,1,1,1,6,1995,2,2009,99
196,445,11,2,3,5,1,1,2,19,1,1,1,1,9999,2,2009,99
197,1543,24,5,7,21,1,1,1,19,1,1,1,1,9999,2,2009,99
198,3517,30,12,3,0,1,1,1,19,1,1,2,5,1999,1,2009,99
199,305,30,1,5,21,9,2,2,19,1,1,2,2,2000,4,2009,99
200,367,3,2,2,6,8,1,1,19,1,1,3,3,1985,1,2009,99
201,232,22,1,4,6,4,2,2,19,1,1,3,5,1988,1,2009,99
202,884,19,3,4,15,17,2,1,19,1,1,3,4,1989,1,2009,99
203,2339,8,8,6,17,1,1,1,19,1,1,3,3,1989,1,2009,99
204,3399,20,12,7,15,1,2,1,19,1,1,3,9,2000,1,2009,99
205,534,18,2,3,19,1,1,1,19,1,1,3,5,2007,1,2009,99
206,1302,30,4,4,23,2,2,1,19,1,1,3,5,2008,1,2009,99
207,1795,25,6,4,20,1,1,1,19,1,1,3,5,2009,1,2009,99
208,1250,24,4,5,9,1,1,1,19,1,1,3,99,9999,1,2009,99
209,1859,2,7,4,23,9,1,1,19,1,1,3,1,9999,1,2009,99
210,2667,15,9,2,16,10,2,1,19,1,1,3,10,1985,2,2009,99
211,2353,9,8,7,21,16,2,1,19,1,1,3,99,9999,3,2009,99
212,3311,8,12,2,11,14,2,1,19,1,1,3,3,9999,3,2009,99
213,246,24,1,6,13,9,1,1,19,1,1,4,5,2000,1,2009,99
214,748,7,3,6,0,9,1,1,19,1,1,4,1,2008,1,2009,99
215,1714,15,6,1,17,1,1,1,19,1,1,4,5,2009,1,2009,99
216,172,16,1,5,8,7,2,1,19,1,1,4,99,9999,1,2009,99
217,196,18,1,7,1,5,2,1,19,1,1,4,99,9999,1,2009,99
218,2620,10,9,4,21,13,1,1,19,1,1,4,99,9999,1,2009,99
219,3266,3,12,4,10,1,1,1,19,1,1,4,5,9999,1,2009,99
220,3470,25,12,5,16,19,2,1,19,1,1,4,4,9999,1,2009,99
221,98,10,1,6,11,3,2,1,19,1,1,4,1,2005,2,2009,99
222,423,8,2,7,23,19,2,1,19,1,1,4,99,9999,2,2009,99
223,551,19,2,4,22,10,2,1,19,1,1,4,99,9999,4,2009,99
224,3026,29,10,4,20,17,2,1,19,1,1,10,1,1998,1,2009,99
225,2487,24,8,1,14,21,1,1,19,1,1,14,1,2004,3,2009,99
226,1806,27,6,6,9,1,1,1,19,1,1,14,1,9999,4,2009,99
227,1329,2,5,6,22,1,1,2,20,1,9,1,2,1993,1,2009,99
228,2366,12,8,3,20,20,2,1,20,1,9,1,4,2001,1,2009,99
229,634,26,2,4,3,6,1,1,20,1,9,1,99,9999,1,2009,99
230,830,14,3,6,0,1,1,1,20,1,9,1,4,9999,1,2009,99
231,901,22,3,7,0,1,1,1,20,1,9,1,14,9999,1,2009,99
232,611,23,2,1,15,16,1,2,20,1,9,1,99,9999,2,2009,99
233,667,1,3,7,2,1,1,1,20,1,9,1,4,9999,2,2009,99
234,2115,31,7,5,0,1,1,1,20,1,9,1,4,9999,2,2009,99
235,2506,26,8,3,7,5,2,1,20,1,9,3,99,1996,1,2009,99
236,3443,23,12,3,23,10,1,1,20,1,9,3,5,2006,1,2009,99
237,2005,18,7,6,7,18,2,1,20,1,9,3,6,9999,1,2009,99
238,3282,5,12,6,12,1,1,1,20,1,9,3,5,9999,1,2009,99
239,3451,24,12,4,4,1,1,1,20,1,9,3,6,9999,2,2009,99
240,1625,5,6,5,15,17,2,1,20,1,9,3,6,2007,3,2009,99
241,670,1,3,7,12,22,2,1,20,1,9,4,3,9999,1,2009,99
242,979,29,3,7,8,5,2,1,20,1,9,4,1,9999,1,2009,99
243,2589,6,9,7,23,4,1,2,20,1,9,4,7,9999,1,2009,99
244,3006,26,10,1,20,14,2,1,20,1,9,4,1,9999,1,2009,99
245,3111,7,11,6,21,4,1,1,20,1,9,4,99,9999,1,2009,99
246,3291,6,12,7,7,5,2,1,20,1,9,4,3,9999,1,2009,99
247,2510,26,8,3,4,1,1,1,20,1,9,4,3,2007,2,2009,99
248,916,23,3,1,22,9,1,1,20,1,9,4,5,9999,2,2009,99
249,1339,3,5,7,18,4,2,1,20,1,9,4,1,9999,2,2009,99
250,1643,7,6,7,21,15,2,1,20,1,9,4,1,9999,2,2009,99
251,2593,6,9,7,2,18,2,1,20,1,9,4,99,9999,2,2009,99
252,792,9,3,1,9,22,2,1,20,1,9,4,1,9999,4,2009,99
253,969,28,3,6,17,18,2,1,20,1,9,4,99,9999,4,2009,99
254,1957,13,7,1,21,19,2,1,20,1,9,4,99,9999,4,2009,99
255,2084,28,7,2,14,19,2,2,20,1,9,4,1,9999,4,2009,99
256,2408,16,8,7,5,18,2,1,20,1,9,4,5,9999,4,2009,99
257,2542,29,8,6,21,13,2,1,20,1,9,4,99,9999,4,2009,99
258,697,2,3,1,18,10,1,1,20,1,9,9,2,9999,1,2009,99
259,1134,12,4,7,15,1,2,1,20,1,9,14,1,2006,3,2009,99
260,3251,1,12,2,8,1,1,1,20,1,9,14,1,9999,3,2009,99
261,3056,1,11,7,18,19,2,1,20,1,9,99,99,9999,1,2009,99
262,665,28,2,6,1,15,2,1,20,1,2,99,1,9999,1,2009,99
263,735,6,3,5,4,1,1,1,20,1,2,1,11,2003,1,2009,99
264,499,15,2,7,3,1,1,1,20,1,2,1,4,9999,1,2009,99
265,1841,30,6,2,21,12,2,1,20,1,2,1,3,9999,1,2009,99
266,3409,20,12,7,21,12,2,1,20,1,2,1,4,9999,2,2009,99
267,1949,12,7,7,17,6,2,1,20,1,2,2,5,1996,2,2009,99
268,3347,13,12,7,20,12,2,1,20,1,2,3,2,1989,1,2009,99
269,2003,18,7,6,4,12,2,1,20,1,2,3,3,9999,1,2009,99
270,524,16,2,1,0,9,2,1,20,1,2,3,1,9999,2,2009,99
271,613,23,2,1,20,15,2,1,20,1,2,4,5,2008,1,2009,99
272,2,1,1,4,23,1,1,1,20,1,2,4,5,9999,1,2009,99
273,155,15,1,4,1,10,1,1,20,1,2,4,99,9999,1,2009,99
274,3132,11,11,3,23,10,2,1,20,1,2,4,5,2007,4,2009,99
275,1597,2,6,2,20,12,2,1,20,1,2,14,1,2007,1,2009,99
276,3192,22,11,7,17,1,1,1,20,1,2,14,1,2006,3,2009,99
277,2520,27,8,4,14,12,2,1,20,1,1,1,6,1988,1,2009,99
278,2678,16,9,3,12,2,2,1,20,1,1,1,2,1994,1,2009,99
279,323,31,1,6,3,9,2,1,20,1,1,1,5,1999,1,2009,99
280,1966,14,7,2,19,1,1,1,20,1,1,1,6,1999,1,2009,99
281,2603,8,9,2,0,6,2,2,20,1,1,1,1,2004,1,2009,99
282,354,2,2,1,11,1,2,1,20,1,1,1,2,9999,1,2009,99
283,782,8,3,7,23,1,1,2,20,1,1,1,4,9999,1,2009,99
284,549,19,2,4,22,6,2,1,20,1,1,1,6,1996,2,2009,99
285,2825,6,10,2,7,1,1,2,20,1,1,1,2,9999,2,2009,99
286,3288,6,12,7,16,22,2,1,20,1,1,1,4,9999,2,2009,99
287,267,25,1,7,20,1,1,1,20,1,1,2,1,2001,1,2009,99
288,2665,15,9,2,14,6,2,1,20,1,1,2,8,1985,2,2009,99
289,2676,16,9,3,20,12,2,1,20,1,1,3,6,1995,1,2009,99
290,956,27,3,5,14,9,1,1,20,1,1,3,2,2004,1,2009,99
291,1510,19,5,2,12,21,1,1,20,1,1,3,2,2005,1,2009,99
292,2422,18,8,2,13,1,1,1,20,1,1,3,2,2006,1,2009,99
293,3484,27,12,7,17,20,2,1,20,1,1,3,2,9999,1,2009,99
294,2659,15,9,2,18,12,2,2,20,1,1,3,5,1988,2,2009,99
295,2173,5,8,3,14,22,2,1,20,1,1,3,99,9999,2,2009,99
296,2243,5,8,3,14,22,2,1,20,1,1,3,99,9999,2,2009,99
297,2313,5,8,3,14,22,2,1,20,1,1,3,99,9999,2,2009,99
298,1167,16,4,4,7,1,2,1,20,1,1,4,1,1999,1,2009,99
299,178,17,1,6,12,22,2,2,20,1,1,4,7,2002,1,2009,99
300,3219,25,11,3,15,5,2,1,20,1,1,4,1,2005,1,2009,99
301,383,5,2,4,18,5,2,1,20,1,1,4,99,2006,1,2009,99
302,2583,5,9,6,0,15,2,1,20,1,1,4,5,2008,1,2009,99
303,2684,17,9,4,18,10,1,1,20,1,1,4,5,2008,1,2009,99
304,162,16,1,5,12,1,2,1,20,1,1,4,5,9999,1,2009,99
305,173,16,1,5,12,1,1,1,20,1,1,4,99,9999,1,2009,99
306,424,8,2,7,21,10,2,1,20,1,1,4,3,9999,1,2009,99
307,2035,22,7,3,21,11,2,1,20,1,1,4,5,9999,1,2009,99
308,2691,18,9,5,22,1,1,2,20,1,1,4,3,9999,1,2009,99
309,3138,12,11,4,19,19,2,1,20,1,1,4,3,9999,1,2009,99
310,3496,28,12,1,14,11,2,1,20,1,1,4,1,9999,1,2009,99
311,332,1,2,7,23,20,1,1,20,1,1,4,99,9999,4,2009,99
312,1805,26,6,5,22,15,2,1,20,1,1,4,99,9999,4,2009,99
313,1976,15,7,3,6,20,1,1,20,1,1,4,99,9999,4,2009,99
314,1421,10,5,7,21,1,1,1,20,1,1,8,5,1993,1,2009,99
315,1652,8,6,1,22,10,2,1,20,1,1,9,9,1992,1,2009,99
316,2924,17,10,6,7,14,1,1,20,1,1,9,1,2003,1,2009,99
317,890,20,3,5,18,2,2,1,20,1,1,14,1,2008,1,2009,99
318,2792,1,10,4,17,10,1,1,20,1,1,14,1,2009,1,2009,99
319,2692,18,9,5,9,10,2,1,20,1,1,14,1,9999,1,2009,99
320,1374,6,5,3,21,4,1,1,20,1,1,14,4,9999,2,2009,99
321,2147,2,8,7,21,1,1,1,20,1,1,14,1,2006,3,2009,99
322,2217,2,8,7,21,1,1,1,20,1,1,14,1,2006,3,2009,99
323,2287,2,8,7,21,1,1,1,20,1,1,14,1,2006,3,2009,99
324,2926,18,10,7,19,5,2,1,21,1,9,1,2,1995,1,2009,99
325,2415,17,8,1,18,1,1,1,21,1,9,1,4,2006,1,2009,99
326,2813,4,10,7,17,1,1,1,21,1,9,1,10,1982,2,2009,99
327,636,26,2,4,0,11,1,1,21,1,9,1,6,1985,2,2009,99
328,3076,3,11,2,0,22,2,1,21,1,9,1,5,2006,2,2009,99
329,1233,22,4,3,17,1,2,1,21,1,9,1,2,9999,2,2009,99
330,76,9,1,5,2,1,1,1,21,1,9,1,6,1995,3,2009,99
331,2742,26,9,6,0,20,2,2,21,1,9,1,6,9999,3,2009,99
332,699,2,3,1,17,9,1,1,21,1,9,2,10,2002,1,2009,99
333,2132,2,8,7,3,1,1,1,21,1,9,3,2,1993,1,2009,99
334,2202,2,8,7,3,1,1,1,21,1,9,3,2,1993,1,2009,99
335,2272,2,8,7,3,1,1,1,21,1,9,3,2,1993,1,2009,99
336,2414,17,8,1,11,9,1,1,21,1,9,3,1,9999,1,2009,99
337,2146,2,8,7,15,9,2,1,21,1,9,3,6,9999,2,2009,99
338,2216,2,8,7,15,9,2,1,21,1,9,3,6,9999,2,2009,99
339,2286,2,8,7,15,9,2,1,21,1,9,3,6,9999,2,2009,99
340,2837,7,10,3,4,12,2,1,21,1,9,3,5,9999,2,2009,99
341,1402,9,5,6,20,12,2,1,21,1,9,3,99,9999,3,2009,99
342,1548,24,5,7,22,1,1,1,21,1,9,3,7,9999,3,2009,99
343,2868,12,10,1,7,16,2,1,21,1,9,3,5,9999,3,2009,99
344,1836,30,6,2,11,1,1,1,21,1,9,4,3,1986,1,2009,99
345,1003,31,3,2,12,17,2,1,21,1,9,4,1,2005,1,2009,99
346,702,2,3,1,0,17,2,2,21,1,9,4,99,9999,1,2009,99
347,1135,12,4,7,14,1,1,1,21,1,9,4,5,9999,1,2009,99
348,1656,8,6,1,17,17,2,2,21,1,9,4,99,9999,1,2009,99
349,2176,5,8,3,20,5,2,1,21,1,9,4,5,9999,1,2009,99
350,2246,5,8,3,20,5,2,1,21,1,9,4,5,9999,1,2009,99
351,2316,5,8,3,20,5,2,1,21,1,9,4,5,9999,1,2009,99
352,3120,8,11,7,11,8,2,1,21,1,9,4,7,9999,1,2009,99
353,3257,1,12,2,13,3,2,1,21,1,9,4,2,9999,1,2009,99
354,1303,1,5,5,3,1,1,1,21,1,9,4,5,2007,2,2009,99
