,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,zona_ocu,sexo_pil,edad_pil,estado_pil,tipo_vehi,color_vehi,modelo_vehi,causa_acc,year,muni_ocu,num_hecho,g_edad_pil,edad_m1
43,8,5,6,23,4,2,99,9,999,9,5,99,9999,1,2010,-1,-1,-1,9
44,14,11,7,8,13,2,99,1,56,1,2,3,9999,4,2010,-1,-1,-1,1
45,28,2,7,8,2,2,99,1,29,9,1,2,9999,1,2010,-1,-1,-1,1
46,6,9,1,15,13,2,99,1,32,1,3,99,9999,1,2010,-1,-1,-1,1
47,21,2,7,7,12,2,99,2,40,9,1,3,9999,1,2010,-1,-1,-1,1
48,13,9,1,1,1,1,10,9,999,9,1,4,9999,2,2010,-1,-1,-1,9
49,23,7,5,8,14,2,99,1,30,1,3,5,2005,4,2010,-1,-1,-1,1
50,1,4,4,20,17,1,99,1,22,1,4,3,9999,1,2010,-1,-1,-1,1
51,25,12,6,2,16,2,99,1,26,1,1,6,1998,1,2010,-1,-1,-1,1
52,5,6,6,2,18,2,99,2,40,1,12,7,2003,4,2010,-1,-1,-1,1
53,21,11,7,2,5,2,99,2,28,1,1,3,9999,2,2010,-1,-1,-1,1
54,19,11,5,7,14,2,99,9,999,1,12,2,9999,2,2010,-1,-1,-1,9
55,28,9,2,8,5,2,99,2,26,9,1,3,2008,1,2010,-1,-1,-1,1
56,9,9,4,9,1,2,99,1,38,9,1,2,9999,1,2010,-1,-1,-1,1
57,9,5,7,9,10,2,99,1,32,1,3,10,9999,3,2010,-1,-1,-1,1
58,16,2,2,11,17,2,99,1,35,9,3,1,1995,1,2010,-1,-1,-1,1
59,15,9,3,12,13,1,10,2,50,9,4,99,9999,1,2010,-1,-1,-1,1
60,4,4,7,13,18,2,99,1,34,1,12,99,9999,1,2010,-1,-1,-1,1
61,30,1,6,13,19,2,99,1,30,9,3,3,9999,1,2010,-1,-1,-1,1
62,26,4,1,13,17,2,99,1,35,1,9,2,9999,3,2010,-1,-1,-1,1
63,11,4,7,15,4,2,99,1,26,9,4,3,9999,1,2010,-1,-1,-1,1
64,19,12,7,15,5,2,99,1,48,9,2,9,9999,1,2010,-1,-1,-1,1
65,16,5,7,16,1,1,7,1,27,1,1,5,1997,1,2010,-1,-1,-1,1
66,7,6,1,16,6,2,99,1,40,1,3,1,9999,3,2010,-1,-1,-1,1
67,10,10,7,19,18,2,99,9,999,9,2,99,9999,2,2010,-1,-1,-1,9
68,20,11,6,12,17,2,99,1,38,1,9,11,9999,3,2010,-1,-1,-1,1
69,14,12,2,16,12,2,99,1,31,9,3,9,9999,2,2010,-1,-1,-1,1
70,10,4,6,17,18,2,99,9,999,9,3,4,9999,4,2010,-1,-1,-1,9
71,4,10,1,15,20,2,99,1,999,9,3,99,9999,1,2010,-1,-1,-1,9
72,10,5,1,19,5,2,99,1,38,1,4,99,9999,1,2010,-1,-1,-1,1
73,12,3,5,20,3,2,99,1,40,9,4,1,9999,1,2010,-1,-1,-1,1
74,29,10,5,20,13,2,99,9,999,9,3,3,9999,3,2010,-1,-1,-1,9
75,15,10,5,0,19,2,99,1,42,1,3,3,9999,1,2010,-1,-1,-1,1
76,20,11,6,0,1,1,99,1,21,1,4,4,9999,1,2010,-1,-1,-1,1
77,17,4,6,0,1,1,1,1,19,9,1,5,9999,1,2010,-1,-1,-1,1
78,31,1,7,0,22,2,99,1,23,9,4,3,9999,1,2010,-1,-1,-1,1
79,23,12,4,0,1,1,1,1,41,1,1,2,2007,1,2010,-1,-1,-1,1
80,3,12,5,0,9,1,99,1,25,9,1,3,9999,1,2010,-1,-1,-1,1
81,17,2,3,0,3,2,99,1,21,9,3,2,9999,1,2010,-1,-1,-1,1
82,16,3,2,0,20,1,99,1,21,9,3,6,1994,3,2010,-1,-1,-1,1
83,17,12,5,0,1,1,13,1,18,2,4,3,2007,2,2010,-1,-1,-1,1
84,24,1,7,0,10,2,99,1,20,9,2,5,2000,3,2010,-1,-1,-1,1
85,21,11,7,0,17,2,99,1,23,1,3,99,9999,2,2010,-1,-1,-1,1
86,28,2,7,0,12,2,99,1,23,9,3,11,9999,3,2010,-1,-1,-1,1
87,25,12,6,0,20,2,99,1,31,2,4,1,9999,2,2010,-1,-1,-1,1
88,1,9,3,1,1,1,18,1,52,1,6,2,2008,1,2010,-1,-1,-1,1
89,1,5,6,1,17,2,99,1,24,1,4,99,9999,1,2010,-1,-1,-1,1
90,6,11,6,1,1,1,10,1,25,9,1,3,9999,1,2010,-1,-1,-1,1
91,19,2,5,1,19,2,99,1,55,9,6,2,2002,1,2010,-1,-1,-1,1
92,11,4,7,1,13,2,99,1,40,1,3,99,9999,1,2010,-1,-1,-1,1
93,25,7,7,1,21,2,99,1,29,9,4,1,9999,1,2010,-1,-1,-1,1
94,30,12,4,1,6,2,99,1,54,9,13,99,9999,1,2010,-1,-1,-1,1
95,2,8,1,1,17,2,99,1,24,1,4,1,9999,2,2010,-1,-1,-1,1
96,7,6,1,1,2,2,99,1,999,9,9,4,9999,2,2010,-1,-1,-1,9
97,13,11,6,1,1,1,5,1,999,9,1,1,2005,4,2010,-1,-1,-1,9
98,10,5,1,1,15,2,99,1,36,9,3,6,9999,4,2010,-1,-1,-1,1
99,19,2,5,1,5,2,99,1,999,1,6,99,9999,4,2010,-1,-1,-1,9
100,18,7,7,1,1,2,10,1,34,9,2,5,9999,2,2010,-1,-1,-1,1
101,19,7,1,1,17,2,99,1,28,1,4,2,9999,2,2010,-1,-1,-1,1
102,29,1,5,1,1,1,18,1,26,9,2,9,9999,3,2010,-1,-1,-1,1
103,22,7,4,1,19,2,99,1,24,9,4,99,9999,2,2010,-1,-1,-1,1
104,31,1,7,1,4,2,99,1,21,9,3,99,9999,2,2010,-1,-1,-1,1
105,24,7,6,1,19,2,99,1,25,2,4,5,2009,3,2010,-1,-1,-1,1
106,3,12,5,2,9,1,99,1,22,9,4,1,2008,1,2010,-1,-1,-1,1
107,13,12,1,2,18,2,99,1,19,9,4,5,9999,1,2010,-1,-1,-1,1
108,2,6,3,2,1,1,11,1,28,1,4,1,2007,2,2010,-1,-1,-1,1
109,1,4,4,2,12,2,99,1,27,2,3,1,1984,2,2010,-1,-1,-1,1
110,4,12,6,2,1,1,12,1,29,9,3,2,9999,2,2010,-1,-1,-1,1
111,12,3,5,2,1,1,13,1,38,9,4,1,9999,2,2010,-1,-1,-1,1
112,17,6,4,2,2,2,99,1,45,1,6,3,9999,4,2010,-1,-1,-1,1
113,18,9,6,2,4,2,99,1,40,1,3,2,9999,4,2010,-1,-1,-1,1
114,25,10,1,2,3,2,99,1,48,1,5,3,9999,4,2010,-1,-1,-1,1
115,27,6,7,2,2,2,99,1,38,1,3,5,9999,4,2010,-1,-1,-1,1
116,28,7,3,2,12,2,99,1,62,1,3,4,9999,4,2010,-1,-1,-1,1
117,30,8,1,2,15,2,99,1,33,1,4,5,9999,2,2010,-1,-1,-1,1
118,2,8,1,3,1,1,1,1,27,1,4,1,9999,1,2010,-1,-1,-1,1
119,6,6,7,3,5,2,99,1,51,1,6,14,2002,1,2010,-1,-1,-1,1
120,11,1,1,3,5,2,99,1,25,9,4,5,9999,1,2010,-1,-1,-1,1
121,17,10,7,3,18,2,99,1,28,1,4,3,9999,1,2010,-1,-1,-1,1
122,19,5,3,3,18,2,99,1,36,1,3,5,9999,3,2010,-1,-1,-1,1
123,23,7,5,3,1,1,1,1,30,9,4,99,9999,2,2010,-1,-1,-1,1
124,31,7,6,3,1,1,7,1,24,2,1,4,9999,2,2010,-1,-1,-1,1
125,2,5,7,4,1,2,99,1,30,9,4,5,9999,1,2010,-1,-1,-1,1
126,11,8,3,4,5,2,99,1,25,1,4,1,9999,1,2010,-1,-1,-1,1
127,15,5,6,4,20,2,99,1,22,1,4,2,2009,1,2010,-1,-1,-1,1
128,23,1,6,4,18,2,99,1,38,9,7,1,2000,1,2010,-1,-1,-1,1
129,20,3,6,4,10,2,99,9,999,9,5,6,9999,1,2010,-1,-1,-1,9
130,24,7,6,4,1,1,6,1,24,1,4,1,2007,1,2010,-1,-1,-1,1
131,30,7,5,4,18,1,99,1,28,9,4,3,9999,1,2010,-1,-1,-1,1
132,3,10,7,4,1,1,3,1,30,1,1,7,9999,2,2010,-1,-1,-1,1
133,6,5,4,4,18,2,99,1,30,9,4,1,9999,2,2010,-1,-1,-1,1
134,11,11,4,4,18,2,99,1,31,9,4,99,9999,2,2010,-1,-1,-1,1
135,18,2,4,4,1,1,13,1,28,9,11,2,9999,2,2010,-1,-1,-1,1
136,16,12,4,4,1,2,99,1,24,2,1,3,9999,2,2010,-1,-1,-1,1
137,30,8,1,4,3,2,99,1,37,1,1,14,9999,2,2010,-1,-1,-1,1
138,1,4,4,5,1,2,99,1,28,1,3,1,9999,4,2010,-1,-1,-1,1
139,2,4,5,5,17,2,99,1,21,1,4,5,2006,2,2010,-1,-1,-1,1
140,4,3,4,6,21,2,99,1,28,9,4,99,9999,1,2010,-1,-1,-1,1
141,10,2,3,6,1,1,1,1,35,9,7,99,9999,1,2010,-1,-1,-1,1
142,8,12,3,6,1,1,12,1,30,9,4,3,9999,1,2010,-1,-1,-1,1
143,14,11,7,6,5,2,99,1,33,1,6,3,1997,1,2010,-1,-1,-1,1
144,16,10,6,6,1,2,99,2,60,1,1,1,9999,1,2010,-1,-1,-1,1
145,15,11,1,6,5,2,99,1,999,1,4,14,9999,1,2010,-1,-1,-1,9
146,15,7,4,6,4,2,99,1,28,1,4,1,9999,1,2010,-1,-1,-1,1
147,18,5,2,6,4,2,99,9,999,9,12,14,9999,1,2010,-1,-1,-1,9
148,24,1,7,6,5,2,99,1,23,9,4,1,2008,1,2010,-1,-1,-1,1
149,31,1,7,6,6,2,99,1,44,1,3,3,1999,1,2010,-1,-1,-1,1
150,29,5,6,6,19,2,99,1,30,1,1,6,1995,1,2010,-1,-1,-1,1
151,11,11,4,6,5,2,99,1,46,9,3,5,9999,2,2010,-1,-1,-1,1
152,8,8,7,6,6,2,99,1,29,9,4,1,2005,2,2010,-1,-1,-1,1
153,19,6,6,6,15,2,99,1,30,1,4,1,9999,2,2010,-1,-1,-1,1
154,21,11,7,6,14,2,99,1,31,1,3,99,9999,4,2010,-1,-1,-1,1
155,28,2,7,6,6,2,99,9,999,9,4,99,9999,4,2010,-1,-1,-1,9
156,29,5,6,6,1,1,5,1,30,1,1,99,2002,2,2010,-1,-1,-1,1
157,21,4,3,6,22,2,99,1,63,1,99,99,9999,2,2010,-1,-1,-1,1
158,10,6,4,7,22,2,99,1,23,1,5,2,2007,1,2010,-1,-1,-1,1
159,10,11,3,7,11,2,99,1,64,9,4,3,2007,1,2010,-1,-1,-1,1
160,18,10,1,7,14,2,99,1,45,1,4,99,9999,1,2010,-1,-1,-1,1
161,14,12,2,7,1,1,12,1,25,9,4,4,2008,1,2010,-1,-1,-1,1
162,21,2,7,7,14,2,99,1,999,9,9,3,2007,1,2010,-1,-1,-1,9
163,21,11,7,7,1,1,12,1,24,1,4,3,9999,1,2010,-1,-1,-1,1
164,28,9,2,7,4,2,99,1,35,1,3,2,2005,1,2010,-1,-1,-1,1
165,1,3,1,7,1,1,12,1,22,9,12,1,9999,3,2010,-1,-1,-1,1
166,6,10,3,7,1,2,99,1,25,1,5,2,9999,2,2010,-1,-1,-1,1
167,5,7,1,7,2,2,99,1,22,1,1,6,1996,4,2010,-1,-1,-1,1
168,8,10,5,7,4,2,99,1,28,9,3,14,2003,4,2010,-1,-1,-1,1
169,16,9,4,7,17,2,99,1,27,1,4,99,9999,2,2010,-1,-1,-1,1
170,16,3,2,7,2,2,99,9,999,9,9,3,2007,3,2010,-1,-1,-1,9
171,23,10,6,7,9,2,99,1,18,9,5,99,9999,3,2010,-1,-1,-1,1
172,26,9,7,7,1,1,1,9,999,9,9,2,9999,2,2010,-1,-1,-1,9
173,27,3,6,7,9,2,99,1,31,1,5,2,9999,1,2010,-1,-1,-1,1
174,1,5,6,8,1,1,4,1,37,9,4,5,9999,1,2010,-1,-1,-1,1
175,1,9,3,8,1,1,9,1,29,1,12,7,1995,1,2010,-1,-1,-1,1
176,9,10,6,8,17,2,99,1,33,9,4,1,9999,1,2010,-1,-1,-1,1
177,16,6,3,8,5,2,99,1,50,1,4,1,9999,1,2010,-1,-1,-1,1
178,15,11,1,8,5,2,99,9,999,9,4,99,9999,1,2010,-1,-1,-1,9
179,26,3,5,8,19,2,99,9,999,9,99,99,9999,1,2010,-1,-1,-1,9
180,29,4,4,8,19,2,99,1,31,1,5,2,1997,1,2010,-1,-1,-1,1
181,31,7,6,8,2,2,99,1,23,9,4,5,2009,1,2010,-1,-1,-1,1
182,5,4,1,8,14,2,99,1,40,1,3,2,1989,4,2010,-1,-1,-1,1
183,18,11,4,8,7,2,99,1,18,1,3,9,9999,4,2010,-1,-1,-1,1
184,16,7,5,8,18,1,99,1,23,1,4,3,9999,1,2010,-1,-1,-1,1
185,18,9,6,8,6,2,99,1,25,9,3,1,9999,2,2010,-1,-1,-1,1
186,20,3,6,8,5,2,99,1,32,1,4,5,2007,1,2010,-1,-1,-1,1
187,8,4,4,9,1,1,10,2,39,1,1,10,2000,1,2010,-1,-1,-1,1
188,11,4,7,9,17,2,99,1,22,1,14,1,2005,1,2010,-1,-1,-1,1
189,21,8,6,9,1,1,9,1,21,1,4,1,9999,1,2010,-1,-1,-1,1
190,17,4,6,9,1,1,11,1,23,9,4,3,9999,1,2010,-1,-1,-1,1
191,2,12,4,9,1,2,99,1,36,9,5,1,9999,2,2010,-1,-1,-1,1
192,2,3,2,9,17,2,99,1,20,9,3,5,9999,3,2010,-1,-1,-1,1
193,8,9,3,9,5,2,99,1,28,9,4,5,9999,4,2010,-1,-1,-1,1
194,13,11,6,9,15,2,99,1,31,9,3,1,1987,3,2010,-1,-1,-1,1
195,16,3,2,9,14,2,99,1,53,9,3,10,1987,3,2010,-1,-1,-1,1
196,30,5,7,9,5,2,99,1,21,1,2,99,9999,13,2010,-1,-1,-1,1
197,30,5,7,9,7,2,99,1,999,1,3,2,9999,13,2010,-1,-1,-1,9
198,27,3,6,9,5,2,99,1,21,1,4,3,9999,1,2010,-1,-1,-1,1
199,31,7,6,9,18,1,99,1,45,9,3,1,9999,2,2010,-1,-1,-1,1
200,3,12,5,10,1,1,10,9,999,9,12,1,9999,1,2010,-1,-1,-1,9
201,6,2,6,10,2,2,99,1,30,1,4,4,9999,1,2010,-1,-1,-1,1
202,6,5,4,10,6,2,99,1,19,1,3,1,1986,1,2010,-1,-1,-1,1
203,10,4,6,10,1,2,99,1,22,1,4,5,9999,1,2010,-1,-1,-1,1
204,17,12,5,10,4,2,99,1,43,1,4,1,9999,1,2010,-1,-1,-1,1
205,25,6,5,10,22,2,99,1,22,1,1,5,2009,1,2010,-1,-1,-1,1
206,24,10,7,10,3,2,99,1,19,9,4,3,9999,1,2010,-1,-1,-1,1
207,28,1,4,10,5,2,99,1,63,1,5,2,9999,1,2010,-1,-1,-1,1
208,23,5,7,10,4,2,99,9,999,9,12,6,9999,1,2010,-1,-1,-1,9
209,21,12,2,10,5,2,99,1,40,1,4,3,9999,1,2010,-1,-1,-1,1
210,30,7,5,10,1,1,6,9,999,9,9,7,9999,1,2010,-1,-1,-1,9
211,12,12,7,10,9,2,99,1,45,1,2,1,9999,4,2010,-1,-1,-1,1
212,17,3,3,10,21,2,99,1,55,9,13,99,9999,4,2010,-1,-1,-1,1
213,30,5,7,10,15,2,99,1,19,1,4,5,9999,13,2010,-1,-1,-1,1
214,3,12,5,11,1,1,7,1,22,9,11,2,2005,2,2010,-1,-1,-1,1
215,2,5,7,11,5,2,99,1,58,1,4,5,9999,1,2010,-1,-1,-1,1
216,9,2,2,11,10,2,99,1,40,9,4,1,2006,1,2010,-1,-1,-1,1
217,19,6,6,11,21,1,99,1,18,1,4,5,9999,1,2010,-1,-1,-1,1
218,27,1,3,11,1,1,4,1,34,9,4,5,9999,1,2010,-1,-1,-1,1
219,3,9,5,11,16,1,5,1,24,1,4,1,9999,1,2010,-1,-1,-1,1
220,17,1,7,11,14,2,99,1,34,9,4,7,9999,4,2010,-1,-1,-1,1
221,14,3,7,11,22,2,99,1,18,9,4,99,9999,2,2010,-1,-1,-1,1
222,24,1,7,11,21,2,99,1,32,9,3,1,1987,2,2010,-1,-1,-1,1
223,23,5,7,11,4,2,99,1,22,1,3,1,9999,2,2010,-1,-1,-1,1
224,21,12,2,11,9,2,99,1,40,1,3,3,9999,3,2010,-1,-1,-1,1
225,23,3,2,11,5,2,99,1,35,9,6,2,2006,2,2010,-1,-1,-1,1
226,27,12,1,11,15,2,99,1,88,9,3,4,9999,4,2010,-1,-1,-1,1
227,4,9,6,12,1,1,12,1,19,1,4,5,2006,1,2010,-1,-1,-1,1
228,5,10,2,12,2,2,99,1,23,1,4,5,9999,1,2010,-1,-1,-1,1
229,15,3,1,12,4,2,99,1,28,9,4,3,9999,1,2010,-1,-1,-1,1
230,24,3,3,12,5,2,99,1,27,9,4,99,9999,2,2010,-1,-1,-1,1
231,27,9,1,12,5,2,99,1,19,1,4,14,2005,1,2010,-1,-1,-1,1
232,5,12,7,12,10,2,99,1,999,1,3,8,1986,4,2010,-1,-1,-1,9
233,4,5,2,12,20,2,99,1,28,1,99,99,9999,4,2010,-1,-1,-1,1
234,9,11,2,12,3,2,99,1,33,9,5,7,9999,2,2010,-1,-1,-1,1
235,16,6,3,12,4,2,99,1,32,1,5,3,1997,13,2010,-1,-1,-1,1
236,20,7,2,12,9,2,99,1,32,1,99,1,1995,2,2010,-1,-1,-1,1
237,31,7,6,12,4,2,99,1,28,9,3,2,9999,2,2010,-1,-1,-1,1
238,7,11,7,13,15,2,99,1,22,9,4,9,9999,1,2010,-1,-1,-1,1
239,14,10,4,13,19,2,99,1,51,9,4,2,2010,1,2010,-1,-1,-1,1
240,31,1,7,13,6,2,99,1,32,9,4,1,9999,1,2010,-1,-1,-1,1
241,8,1,5,13,19,2,99,1,999,2,1,99,9999,2,2010,-1,-1,-1,9
242,4,4,7,13,1,1,99,9,999,9,3,4,9999,3,2010,-1,-1,-1,9
243,24,1,7,13,16,2,99,9,999,9,5,2,9999,3,2010,-1,-1,-1,9
244,2,10,6,14,1,2,99,1,27,2,4,2,9999,1,2010,-1,-1,-1,1
245,1,5,6,14,16,2,99,1,34,1,4,5,9999,1,2010,-1,-1,-1,1
246,6,8,5,14,4,2,99,1,40,1,3,6,2005,1,2010,-1,-1,-1,1
247,15,5,6,14,5,2,99,1,34,1,4,5,9999,1,2010,-1,-1,-1,1
248,27,6,7,14,10,2,99,1,32,1,1,2,1994,1,2010,-1,-1,-1,1
249,26,8,4,14,18,2,99,1,27,1,3,5,9999,1,2010,-1,-1,-1,1
250,5,5,3,14,1,2,99,1,30,9,11,2,2009,3,2010,-1,-1,-1,1
251,13,3,6,14,1,1,13,1,23,9,3,5,9999,4,2010,-1,-1,-1,1
252,18,10,1,14,18,2,99,1,28,1,3,1,9999,2,2010,-1,-1,-1,1
253,17,8,2,14,13,2,99,1,35,1,13,99,9999,3,2010,-1,-1,-1,1
254,24,1,7,14,1,2,99,1,59,9,2,99,9999,2,2010,-1,-1,-1,1
255,17,2,3,15,17,2,99,1,30,9,2,99,9999,1,2010,-1,-1,-1,1
256,12,10,2,15,12,2,99,1,37,2,4,1,9999,1,2010,-1,-1,-1,1
257,13,3,6,15,1,1,1,1,18,9,4,1,9999,1,2010,-1,-1,-1,1
258,13,3,6,15,22,1,99,1,20,9,4,2,9999,1,2010,-1,-1,-1,1
259,18,10,1,15,17,1,99,1,51,1,4,5,9999,1,2010,-1,-1,-1,1
260,20,10,3,15,5,2,99,1,38,1,1,3,9999,1,2010,-1,-1,-1,1
261,28,8,6,15,1,2,99,1,70,1,1,4,9999,1,2010,-1,-1,-1,1
262,25,4,7,15,10,2,99,9,999,9,5,2,9999,1,2010,-1,-1,-1,9
263,26,4,1,15,5,2,99,1,55,1,3,1,9999,1,2010,-1,-1,-1,1
264,3,2,3,15,13,2,99,1,37,1,3,5,2007,4,2010,-1,-1,-1,1
265,15,11,1,15,1,2,99,1,30,9,5,2,9999,3,2010,-1,-1,-1,1
266,20,1,3,15,15,2,99,1,27,9,3,3,9999,4,2010,-1,-1,-1,1
267,22,2,1,15,5,2,99,1,42,9,3,2,9999,2,2010,-1,-1,-1,1
268,24,6,4,15,22,2,99,1,25,1,1,2,1997,2,2010,-1,-1,-1,1
269,20,7,2,15,9,2,99,1,31,2,4,99,9999,2,2010,-1,-1,-1,1
270,2,8,1,16,5,2,99,1,46,1,3,9,9999,1,2010,-1,-1,-1,1
271,5,1,2,16,9,2,99,1,30,1,3,1,1984,1,2010,-1,-1,-1,1
272,8,9,3,16,6,2,99,1,999,2,1,1,1997,1,2010,-1,-1,-1,9
273,14,7,3,16,10,2,99,1,46,9,3,2,2003,1,2010,-1,-1,-1,1
274,15,9,3,16,22,1,99,1,26,1,4,1,9999,1,2010,-1,-1,-1,1
275,20,7,2,16,1,2,99,1,34,9,4,5,9999,1,2010,-1,-1,-1,1
276,24,10,7,16,9,2,99,1,40,9,1,2,9999,1,2010,-1,-1,-1,1
277,15,4,4,16,5,2,99,1,999,1,12,99,9999,1,2010,-1,-1,-1,9
278,26,10,2,16,17,2,99,1,24,9,4,3,9999,1,2010,-1,-1,-1,1
279,25,3,4,16,20,2,99,1,43,9,4,99,9999,1,2010,-1,-1,-1,1
280,28,8,6,16,22,2,99,1,57,1,1,14,1983,1,2010,-1,-1,-1,1
281,30,8,1,16,1,1,8,1,18,1,1,4,2007,1,2010,-1,-1,-1,1
282,24,4,6,16,2,2,99,1,26,1,5,2,1988,1,2010,-1,-1,-1,1
283,3,1,7,16,15,2,99,1,23,9,3,3,1995,3,2010,-1,-1,-1,1
284,9,3,2,16,5,2,99,1,48,9,5,99,9999,2,2010,-1,-1,-1,1
285,9,9,4,16,18,2,99,1,55,9,3,14,1980,4,2010,-1,-1,-1,1
286,5,4,1,16,12,2,99,1,36,1,3,2,9999,2,2010,-1,-1,-1,1
287,12,4,1,16,15,2,99,1,27,1,10,2,9999,4,2010,-1,-1,-1,1
288,21,7,3,16,7,2,99,1,33,9,1,10,1992,4,2010,-1,-1,-1,1
289,24,7,6,16,13,2,99,1,62,1,99,99,9999,3,2010,-1,-1,-1,1
290,4,2,4,17,20,2,99,1,19,9,4,99,9999,1,2010,-1,-1,-1,1
291,3,12,5,17,1,2,99,1,29,9,1,6,2000,1,2010,-1,-1,-1,1
292,5,9,7,17,17,2,99,1,25,1,4,4,9999,1,2010,-1,-1,-1,1
293,9,1,6,17,1,1,12,1,20,9,4,1,9999,1,2010,-1,-1,-1,1
294,7,8,6,17,3,2,99,1,28,1,1,5,9999,1,2010,-1,-1,-1,1
295,7,5,5,17,22,2,99,1,43,1,3,5,1990,1,2010,-1,-1,-1,1
296,20,10,3,17,22,2,99,1,36,9,3,4,9999,1,2010,-1,-1,-1,1
297,23,1,6,17,1,1,15,1,28,9,1,2,1999,1,2010,-1,-1,-1,1
298,16,3,2,17,10,2,99,1,50,9,4,5,2005,1,2010,-1,-1,-1,1
299,17,9,5,17,5,1,99,1,35,1,4,5,9999,1,2010,-1,-1,-1,1
300,27,6,7,17,19,2,99,1,25,1,2,5,9999,1,2010,-1,-1,-1,1
301,21,8,6,17,1,1,2,1,21,9,4,3,9999,1,2010,-1,-1,-1,1
302,24,11,3,17,10,2,99,1,25,1,5,2,1999,1,2010,-1,-1,-1,1
303,26,5,3,17,20,2,99,9,999,9,2,9,9999,1,2010,-1,-1,-1,9
304,25,9,6,17,10,2,99,1,31,9,4,5,2010,1,2010,-1,-1,-1,1
