núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,mupio_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
2264,2017,19,17,3,2,4,3,1406,14,99,1,999,16,12,18,1,3,999,99,9999,6,2,2,1
2265,2017,19,17,3,2,4,3,1406,14,99,2,30,5,5,7,1,3,999,99,9999,6,2,2,1
2266,2017,19,17,3,2,4,3,1406,14,99,1,10,1,1,3,2,3,999,99,9999,6,2,2,1
2267,2017,19,17,3,2,4,3,1406,14,99,1,11,1,1,3,2,3,999,99,9999,6,2,2,1
2268,2017,19,17,3,2,4,3,1406,14,99,2,7,1,1,2,2,3,999,99,9999,6,2,2,1
2269,2017,19,17,3,2,4,3,1406,14,99,1,5,1,1,2,2,3,999,99,9999,6,2,2,1
2270,2017,19,17,3,2,4,3,1406,14,99,2,9,1,1,2,2,3,999,99,9999,6,2,2,1
2271,2017,19,17,3,2,4,3,1406,14,99,1,35,6,6,8,1,3,999,99,9999,6,2,2,1
2272,2017,19,17,3,2,4,3,1406,14,99,1,14,1,1,3,2,3,999,99,9999,6,2,2,1
2273,2017,19,17,3,2,4,3,1406,14,99,1,14,1,1,3,2,3,999,99,9999,6,2,2,1
2274,2017,19,17,3,2,4,3,1406,14,99,2,19,2,2,4,1,3,999,99,9999,6,2,2,1
2275,2017,19,17,3,2,4,3,1406,14,99,1,2,1,1,1,2,3,999,99,9999,6,2,2,1
2276,2017,19,17,3,2,4,3,1406,14,99,1,21,3,3,5,1,3,999,99,9999,6,2,2,1
2277,2017,19,17,3,2,4,3,1406,14,99,2,29,4,4,6,1,3,999,99,9999,6,2,2,1
2278,2017,19,17,3,2,4,3,1406,14,99,2,38,6,6,8,1,3,999,99,9999,6,2,2,1
2279,2017,19,17,3,2,4,3,1406,14,99,2,50,9,9,11,1,3,999,99,9999,6,2,2,1
2280,2017,19,17,3,2,4,3,1406,14,99,2,65,12,11,14,1,3,999,99,9999,6,2,2,1
2281,2017,19,17,3,2,4,3,1406,14,99,2,7,1,1,2,2,3,999,99,9999,6,2,2,1
2282,2017,19,20,4,3,4,3,706,7,99,2,25,4,4,6,1,99,999,99,9999,6,2,2,1
2283,2017,20,0,1,1,4,4,101,1,9,1,28,4,4,6,1,1,999,7,9999,6,2,2,1
2284,2017,20,0,1,1,4,4,101,1,9,1,28,4,4,6,1,1,999,7,9999,6,2,1,2
2285,2017,20,9,2,1,4,4,107,1,99,1,30,5,5,7,1,4,999,99,9999,6,1,2,1
2286,2017,20,21,4,3,4,4,117,1,99,1,37,6,6,8,1,1,27,11,2003,4,1,2,1
2287,2017,20,13,3,2,4,4,2214,22,99,2,35,6,6,8,1,4,18,5,9999,6,1,2,1
2288,2017,20,18,4,3,4,4,511,5,99,1,37,6,6,8,1,6,999,99,9999,6,1,1,2
2289,2017,20,18,4,3,4,4,511,5,99,1,37,6,6,8,1,6,999,99,9999,6,1,1,2
2290,2017,20,6,2,1,4,4,501,5,99,1,28,4,4,6,1,4,32,5,9999,6,1,2,1
2291,2017,20,9,2,1,4,4,608,6,99,2,60,11,11,13,1,3,69,4,1989,2,1,1,2
2292,2017,20,11,2,1,4,4,203,2,99,1,27,4,4,6,1,4,6,5,2016,5,1,2,1
2293,2017,20,12,3,2,4,4,203,2,99,2,27,4,4,6,1,1,73,5,2011,5,1,2,1
2294,2017,20,12,3,2,4,4,203,2,99,2,77,14,11,16,1,1,73,5,2011,5,1,2,1
2295,2017,20,12,3,2,4,4,203,2,99,2,59,10,10,12,1,1,73,5,2011,5,1,2,1
2296,2017,20,20,4,3,4,4,1404,14,99,1,22,3,3,5,1,4,999,99,9999,6,1,2,1
2297,2017,20,5,1,1,4,4,1406,14,99,1,999,16,12,18,1,3,69,10,9999,6,3,1,2
2298,2017,21,3,1,1,4,5,101,1,1,1,20,3,3,5,1,1,56,7,9999,6,1,2,1
2299,2017,21,3,1,1,4,5,101,1,1,2,19,2,2,4,1,99,999,99,9999,6,1,2,1
2300,2017,21,3,1,1,4,5,101,1,1,1,999,16,12,18,1,99,999,99,9999,6,1,2,1
2301,2017,21,14,3,2,4,5,101,1,1,1,22,3,3,5,1,4,67,5,9999,6,1,2,1
2302,2017,21,6,2,1,4,5,101,1,18,1,21,3,3,5,1,99,999,99,9999,6,1,2,1
2303,2017,21,17,3,2,4,5,101,1,18,1,19,2,2,4,1,4,999,99,9999,6,1,2,1
2304,2017,21,17,3,2,4,5,101,1,18,2,15,2,2,4,2,4,999,99,9999,6,1,2,1
2305,2017,21,19,4,3,4,5,101,1,19,1,999,16,12,18,1,4,999,99,9999,6,1,2,1
2306,2017,21,20,4,3,4,5,1901,19,99,1,25,4,4,6,1,4,32,5,9999,6,1,2,1
2307,2017,21,20,4,3,4,5,1901,19,99,2,28,4,4,6,1,99,999,99,9999,6,1,2,1
2308,2017,21,19,4,3,4,5,1902,19,99,1,60,11,11,13,1,1,50,4,9999,6,1,2,1
2309,2017,21,20,4,3,4,5,1905,19,99,1,999,16,12,18,1,4,67,1,9999,6,1,2,1
2310,2017,21,5,1,1,4,5,509,5,99,1,49,8,8,10,1,4,999,99,9999,6,1,1,2
2311,2017,21,14,3,2,4,5,502,5,99,1,64,11,11,13,1,99,999,99,9999,6,3,2,1
2312,2017,21,14,3,2,4,5,502,5,99,1,33,5,5,7,1,99,999,99,9999,6,3,2,1
2313,2017,21,14,3,2,4,5,502,5,99,1,17,2,2,4,2,99,999,99,9999,6,3,2,1
2314,2017,21,14,3,2,4,5,502,5,99,1,15,2,2,4,2,99,999,99,9999,6,3,2,1
2315,2017,21,14,3,2,4,5,502,5,99,2,34,5,5,7,1,99,999,99,9999,6,3,2,1
2316,2017,21,14,3,2,4,5,502,5,99,1,8,1,1,2,2,99,999,99,9999,6,3,2,1
2317,2017,21,14,3,2,4,5,502,5,99,2,17,2,2,4,2,99,999,99,9999,6,3,2,1
2318,2017,21,14,3,2,4,5,502,5,99,1,20,3,3,5,1,99,999,99,9999,6,3,2,1
2319,2017,21,14,3,2,4,5,502,5,99,2,45,8,8,10,1,99,999,99,9999,6,3,2,1
2320,2017,21,14,3,2,4,5,502,5,99,1,50,9,9,11,1,99,999,99,9999,6,3,2,1
2321,2017,21,14,3,2,4,5,502,5,99,2,40,7,7,9,1,99,999,99,9999,6,3,2,1
2322,2017,21,14,3,2,4,5,502,5,99,2,2,1,1,1,2,99,999,99,9999,6,3,2,1
2323,2017,21,14,3,2,4,5,502,5,99,1,2,1,1,1,2,99,999,99,9999,6,3,2,1
2324,2017,21,14,3,2,4,5,502,5,99,2,29,4,4,6,1,99,999,99,9999,6,3,2,1
2325,2017,21,14,3,2,4,5,502,5,99,1,34,5,5,7,1,99,999,99,9999,6,3,2,1
2326,2017,21,14,3,2,4,5,502,5,99,1,35,6,6,8,1,99,999,99,9999,6,3,2,1
2327,2017,21,14,3,2,4,5,502,5,99,1,55,10,10,12,1,99,999,99,9999,6,3,2,1
2328,2017,21,14,3,2,4,5,502,5,99,1,45,8,8,10,1,99,999,99,9999,6,3,2,1
2329,2017,21,14,3,2,4,5,502,5,99,1,41,7,7,9,1,99,999,99,9999,6,3,2,1
2330,2017,21,14,3,2,4,5,502,5,99,1,34,5,5,7,1,99,999,99,9999,6,3,2,1
2331,2017,21,14,3,2,4,5,502,5,99,1,31,5,5,7,1,99,999,99,9999,6,3,2,1
2332,2017,21,14,3,2,4,5,502,5,99,2,22,3,3,5,1,99,999,99,9999,6,3,2,1
2333,2017,21,14,3,2,4,5,502,5,99,2,21,3,3,5,1,99,999,99,9999,6,3,2,1
2334,2017,21,14,3,2,4,5,502,5,99,1,62,11,11,13,1,99,999,99,9999,6,3,2,1
2335,2017,21,14,3,2,4,5,502,5,99,1,4,1,1,1,2,99,999,99,9999,6,3,2,1
2336,2017,21,14,3,2,4,5,502,5,99,2,27,4,4,6,1,99,999,99,9999,6,3,2,1
2337,2017,21,14,3,2,4,5,502,5,99,2,999,16,12,18,1,99,999,99,9999,6,3,1,2
2338,2017,21,0,1,1,4,5,511,5,99,1,33,5,5,7,1,3,48,4,2005,4,2,2,1
2339,2017,21,9,2,1,4,5,1001,10,99,2,21,3,3,5,1,4,6,1,2012,5,1,2,1
2340,2017,21,19,4,3,4,5,923,9,99,1,75,14,11,16,1,18,999,99,9999,6,1,2,1
2341,2017,21,18,4,3,4,5,1616,16,99,1,17,2,2,4,2,4,999,99,9999,6,1,2,1
2342,2017,21,18,4,3,4,5,1616,16,99,1,12,1,1,3,2,4,999,99,9999,6,1,2,1
2343,2017,21,18,4,3,4,5,312,3,99,2,20,3,3,5,1,4,999,5,9999,6,1,2,1
2344,2017,21,18,4,3,4,5,312,3,99,2,7,1,1,2,2,99,999,99,9999,6,1,2,1
2345,2017,21,10,2,1,4,5,304,3,99,2,20,3,3,5,1,99,999,99,9999,6,1,2,1
2346,2017,21,10,2,1,4,5,304,3,99,1,28,4,4,6,1,99,999,99,9999,6,1,2,1
2347,2017,21,10,2,1,4,5,304,3,99,2,46,8,8,10,1,99,999,99,9999,6,1,2,1
2348,2017,21,10,2,1,4,5,304,3,99,1,57,10,10,12,1,99,999,99,9999,6,1,2,1
2349,2017,21,10,2,1,4,5,304,3,99,1,20,3,3,5,1,99,999,99,9999,6,1,2,1
2350,2017,21,10,2,1,4,5,304,3,99,2,58,10,10,12,1,99,999,99,9999,6,1,2,1
2351,2017,21,10,2,1,4,5,304,3,99,2,32,5,5,7,1,99,999,99,9999,6,1,2,1
2352,2017,21,10,2,1,4,5,304,3,99,2,3,1,1,1,2,99,999,99,9999,6,1,2,1
2353,2017,21,10,2,1,4,5,304,3,99,2,30,5,5,7,1,99,999,99,9999,6,1,2,1
2354,2017,21,10,2,1,4,5,304,3,99,1,1,1,1,1,2,99,999,99,9999,6,1,2,1
2355,2017,22,8,2,1,4,6,115,1,99,1,29,4,4,6,1,4,67,5,2007,4,1,2,1
2356,2017,22,8,2,1,4,6,110,1,99,1,21,3,3,5,1,4,32,99,9999,6,1,1,2
2357,2017,22,8,2,1,4,6,110,1,99,2,17,2,2,4,2,4,32,99,9999,6,1,1,2
2358,2017,22,21,4,3,4,6,112,1,99,1,25,4,4,6,1,3,48,99,9999,6,1,2,1
2359,2017,22,20,4,3,4,6,1905,19,99,1,35,6,6,8,1,4,67,1,9999,6,1,2,1
2360,2017,22,6,2,1,4,6,1002,10,99,1,18,2,2,4,1,2,27,5,2002,4,2,2,1
2361,2017,22,12,3,2,4,6,1013,10,99,1,34,5,5,7,1,4,3,5,2005,4,1,1,2
2362,2017,22,16,3,2,4,6,1201,12,99,1,13,1,1,3,2,4,27,5,9999,6,2,1,2
2363,2017,22,15,3,2,4,6,505,5,99,1,37,6,6,8,1,4,999,99,9999,6,1,2,1
2364,2017,22,15,3,2,4,6,505,5,99,1,16,2,2,4,2,4,999,99,9999,6,1,1,2
2365,2017,22,12,3,2,4,6,101,1,4,1,27,4,4,6,1,4,6,99,9999,6,1,2,1
2366,2017,22,1,1,1,4,6,101,1,18,1,17,2,2,4,2,4,999,99,9999,6,1,2,1
2367,2017,22,19,4,3,4,6,101,1,7,1,22,3,3,5,1,4,999,99,9999,6,1,2,1
