num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,g_hora,depto_ocu,mupio_ocu,areag_ocu,zona_ocu,sexo_pil,edad_pil,g_edad_2,mayor_menor,tipo_veh,color_veh,modelo_veh,causa_acc,marca_veh,estado_pil
3796,31,12,2,23,4,1,108,1,1,2,47,8,1,2,4,2007,1,20,9
3797,1,1,2,15,3,1,101,1,18,9,999,12,9,99,99,9999,5,99,9
3798,1,1,2,0,1,1,101,1,7,9,999,12,9,99,99,9999,5,99,9
3799,1,1,2,17,3,22,2204,2,99,1,49,8,1,1,3,1990,5,44,1
3800,1,1,2,14,3,20,2001,2,99,9,999,12,9,99,99,9999,5,99,9
3801,1,1,2,9,2,19,1903,2,99,9,999,12,9,99,99,9999,5,99,9
3802,1,1,2,17,3,19,1901,2,99,9,999,12,9,99,99,9999,5,99,9
3803,1,1,2,16,3,9,901,1,10,1,32,5,1,1,3,9999,5,21,2
3804,1,1,2,0,1,12,1218,2,99,9,999,12,9,99,99,9999,5,99,9
3805,1,1,2,5,1,2,201,2,99,1,23,3,1,3,9,1984,5,44,2
3806,1,1,2,0,1,18,1801,2,99,1,59,10,1,1,4,9999,5,32,2
3807,1,1,2,6,2,18,1801,2,99,1,18,2,1,4,5,9999,5,42,2
3808,2,1,3,0,1,11,1107,2,99,2,26,4,1,1,2,9999,5,37,1
3809,2,1,3,13,3,13,1312,2,99,1,57,10,1,4,2,9999,5,99,1
3810,2,1,3,6,2,13,1301,2,99,9,999,12,9,5,99,9999,5,99,9
3811,2,1,3,20,4,18,1804,2,99,9,999,12,9,6,99,1985,5,99,9
3812,2,1,3,19,4,18,1801,2,99,9,999,12,9,3,99,9999,5,99,9
3813,2,1,3,19,4,18,1801,2,99,1,14,1,2,3,3,9999,5,12,1
3814,2,1,3,19,4,4,409,2,99,9,999,12,9,99,99,9999,5,99,9
3815,3,1,4,0,1,1,101,1,9,9,999,12,9,99,99,9999,5,99,9
3816,3,1,4,22,4,20,2007,2,99,9,999,12,9,99,99,9999,5,99,9
3817,3,1,4,20,4,19,1903,2,99,9,999,12,9,99,99,9999,5,99,9
3818,3,1,4,20,4,5,509,2,99,9,999,12,9,99,99,9999,5,99,9
3819,4,1,5,17,3,1,101,1,11,1,34,5,1,7,99,1984,5,99,1
3820,4,1,5,16,3,1,114,1,99,9,999,12,9,2,4,9999,5,34,9
3821,4,1,5,20,4,22,2201,2,99,9,999,12,9,1,99,9999,5,99,9
3822,4,1,5,7,2,4,401,1,1,9,999,12,9,7,99,9999,5,99,9
3823,5,1,6,9,2,13,1301,2,99,9,999,12,9,3,1,9999,5,44,9
3824,5,1,6,10,2,15,1501,2,99,1,35,6,1,3,3,1992,5,44,9
3825,5,1,6,6,2,4,401,2,99,9,999,12,9,1,1,9999,5,99,9
3826,6,1,7,20,4,1,115,1,4,1,19,2,1,4,6,2002,5,99,1
