núm_corre,año_ocu,mes_ocu,día_ocu,día_sem_ocu,hora_ocu,g_hora,g_hora_5,depto_ocu,mupio_ocu,área_geo_ocu,zona_ocu,sexo_per,edad_per,mayor_menor,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,fall_les,int_o_noint,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
6479,2015,11,19,4,8,2,1,8,804,2,99,1,999,9,16,12,18,2,1,99,99,2,9999,6,2
6480,2015,11,19,4,18,4,3,8,802,2,99,1,58,1,10,10,12,2,2,3,99,3,9999,6,1
6481,2015,11,19,4,10,2,1,15,1503,2,99,1,33,1,5,5,7,2,1,14,99,99,9999,6,1
6482,2015,11,19,4,10,2,1,15,1503,2,99,2,52,1,9,9,11,2,1,3,44,99,9999,6,1
6483,2015,11,19,4,11,2,1,18,1803,2,99,1,33,1,5,5,7,2,1,1,37,2,2000,4,1
6484,2015,11,19,4,11,2,1,18,1803,2,99,1,33,1,5,5,7,2,2,1,37,2,2000,4,1
6485,2015,11,19,4,11,2,1,18,1803,2,99,1,14,2,1,1,3,2,1,1,37,2,2000,4,1
6486,2015,11,20,5,21,4,3,1,101,1,17,1,52,1,9,9,11,1,2,4,24,5,9999,6,4
6487,2015,11,20,5,6,2,1,1,102,2,99,1,22,1,3,3,5,2,1,4,2,5,9999,6,2
6488,2015,11,20,5,19,4,3,1,101,1,12,1,28,1,4,4,6,2,1,4,24,1,2013,5,1
6489,2015,11,20,5,14,3,2,5,513,2,99,1,41,1,7,7,9,2,1,4,2,5,2007,4,1
6490,2015,11,20,5,19,4,3,8,805,2,99,1,40,1,7,7,9,2,1,2,44,5,9999,6,2
6491,2015,11,20,5,19,4,3,8,805,2,99,1,68,1,12,11,14,2,1,2,44,5,9999,6,2
6492,2015,11,20,5,18,4,3,16,1601,2,99,1,32,1,5,5,7,2,1,4,99,99,9999,6,4
6493,2015,11,20,5,23,4,3,2,203,2,99,2,24,1,3,3,5,2,1,4,99,99,9999,6,1
6494,2015,11,20,5,23,4,3,2,203,2,99,2,24,1,3,3,5,2,1,4,99,99,9999,6,1
6495,2015,11,20,5,17,3,2,18,1801,2,99,2,30,1,5,5,7,1,2,1,44,2,2001,4,1
6496,2015,11,20,5,17,3,2,18,1801,2,99,2,10,2,1,1,3,1,2,1,44,2,2001,4,1
6497,2015,11,20,5,17,3,2,18,1801,2,99,1,7,2,1,1,2,2,1,1,44,2,2001,4,1
6498,2015,11,20,5,17,3,2,18,1801,2,99,1,24,1,3,3,5,2,1,1,37,11,1998,3,1
6499,2015,11,20,5,9,2,1,18,1801,2,99,1,43,1,7,7,9,1,2,4,99,99,9999,6,4
6500,2015,11,20,5,21,4,3,18,1801,2,99,1,27,1,4,4,6,1,2,4,99,99,9999,6,4
6501,2015,11,20,5,21,4,3,17,1711,2,99,1,23,1,3,3,5,2,1,4,99,99,9999,6,2
6502,2015,11,20,5,21,4,3,17,1711,2,99,2,22,1,3,3,5,2,1,4,99,99,9999,6,2
6503,2015,11,20,5,5,1,1,4,411,2,99,1,61,1,11,11,13,1,2,3,44,6,2007,4,4
6504,2015,11,20,5,20,4,3,4,410,2,99,1,24,1,3,3,5,2,1,3,44,2,1994,3,1
6505,2015,11,20,5,20,4,3,4,410,2,99,2,16,2,2,2,4,2,1,3,44,2,1994,3,1
