dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,zona_ocu,sexo_pil,edad_pil,estado_pil,tipo_v,color_v,modelo_v,causa_ac
31,5,1,19,1,2,99,2,27,1,3,9,1995,3
23,7,5,20,5,2,99,1,23,1,4,1,9999,1
1,4,4,20,5,2,99,1,43,1,2,99,9999,4
5,5,3,20,14,2,99,1,46,1,5,7,9999,4
16,3,2,20,5,2,99,1,23,9,1,4,9999,2
31,3,3,20,5,2,99,1,45,2,2,4,9999,4
18,12,6,22,5,2,99,1,35,9,1,4,9999,1
4,10,1,23,5,1,99,1,31,2,3,6,1986,1
8,5,6,23,4,2,99,9,999,9,5,99,9999,1
14,11,7,8,13,2,99,1,56,1,2,3,9999,4
28,2,7,8,2,2,99,1,29,9,1,2,9999,1
6,9,1,15,13,2,99,1,32,1,3,99,9999,1
21,2,7,7,12,2,99,2,40,9,1,3,9999,1
13,9,1,1,1,1,10,9,999,9,1,4,9999,2
23,7,5,8,14,2,99,1,30,1,3,5,2005,4
1,4,4,20,17,1,99,1,22,1,4,3,9999,1
25,12,6,2,16,2,99,1,26,1,1,6,1998,1
5,6,6,2,18,2,99,2,40,1,12,7,2003,4
21,11,7,2,5,2,99,2,28,1,1,3,9999,2
19,11,5,7,14,2,99,9,999,1,12,2,9999,2
28,9,2,8,5,2,99,2,26,9,1,3,2008,1
9,9,4,9,1,2,99,1,38,9,1,2,9999,1
9,5,7,9,10,2,99,1,32,1,3,10,9999,3
16,2,2,11,17,2,99,1,35,9,3,1,1995,1
15,9,3,12,13,1,10,2,50,9,4,99,9999,1
4,4,7,13,18,2,99,1,34,1,12,99,9999,1
30,1,6,13,19,2,99,1,30,9,3,3,9999,1
26,4,1,13,17,2,99,1,35,1,9,2,9999,3
11,4,7,15,4,2,99,1,26,9,4,3,9999,1
19,12,7,15,5,2,99,1,48,9,2,9,9999,1
16,5,7,16,1,1,7,1,27,1,1,5,1997,1
7,6,1,16,6,2,99,1,40,1,3,1,9999,3
10,10,7,19,18,2,99,9,999,9,2,99,9999,2
20,11,6,12,17,2,99,1,38,1,9,11,9999,3
14,12,2,16,12,2,99,1,31,9,3,9,9999,2
10,4,6,17,18,2,99,9,999,9,3,4,9999,4
4,10,1,15,20,2,99,1,999,9,3,99,9999,1
10,5,1,19,5,2,99,1,38,1,4,99,9999,1
12,3,5,20,3,2,99,1,40,9,4,1,9999,1
29,10,5,20,13,2,99,9,999,9,3,3,9999,3
15,10,5,0,19,2,99,1,42,1,3,3,9999,1
20,11,6,0,1,1,99,1,21,1,4,4,9999,1
17,4,6,0,1,1,1,1,19,9,1,5,9999,1
31,1,7,0,22,2,99,1,23,9,4,3,9999,1
23,12,4,0,1,1,1,1,41,1,1,2,2007,1
3,12,5,0,9,1,99,1,25,9,1,3,9999,1
17,2,3,0,3,2,99,1,21,9,3,2,9999,1
16,3,2,0,20,1,99,1,21,9,3,6,1994,3
17,12,5,0,1,1,13,1,18,2,4,3,2007,2
24,1,7,0,10,2,99,1,20,9,2,5,2000,3
21,11,7,0,17,2,99,1,23,1,3,99,9999,2
28,2,7,0,12,2,99,1,23,9,3,11,9999,3
25,12,6,0,20,2,99,1,31,2,4,1,9999,2
1,9,3,1,1,1,18,1,52,1,6,2,2008,1
1,5,6,1,17,2,99,1,24,1,4,99,9999,1
6,11,6,1,1,1,10,1,25,9,1,3,9999,1
19,2,5,1,19,2,99,1,55,9,6,2,2002,1
11,4,7,1,13,2,99,1,40,1,3,99,9999,1
25,7,7,1,21,2,99,1,29,9,4,1,9999,1
30,12,4,1,6,2,99,1,54,9,13,99,9999,1
2,8,1,1,17,2,99,1,24,1,4,1,9999,2
7,6,1,1,2,2,99,1,999,9,9,4,9999,2
13,11,6,1,1,1,5,1,999,9,1,1,2005,4
10,5,1,1,15,2,99,1,36,9,3,6,9999,4
19,2,5,1,5,2,99,1,999,1,6,99,9999,4
18,7,7,1,1,2,10,1,34,9,2,5,9999,2
19,7,1,1,17,2,99,1,28,1,4,2,9999,2
29,1,5,1,1,1,18,1,26,9,2,9,9999,3
22,7,4,1,19,2,99,1,24,9,4,99,9999,2
31,1,7,1,4,2,99,1,21,9,3,99,9999,2
24,7,6,1,19,2,99,1,25,2,4,5,2009,3
3,12,5,2,9,1,99,1,22,9,4,1,2008,1
13,12,1,2,18,2,99,1,19,9,4,5,9999,1
2,6,3,2,1,1,11,1,28,1,4,1,2007,2
1,4,4,2,12,2,99,1,27,2,3,1,1984,2
4,12,6,2,1,1,12,1,29,9,3,2,9999,2
12,3,5,2,1,1,13,1,38,9,4,1,9999,2
17,6,4,2,2,2,99,1,45,1,6,3,9999,4
18,9,6,2,4,2,99,1,40,1,3,2,9999,4
25,10,1,2,3,2,99,1,48,1,5,3,9999,4
27,6,7,2,2,2,99,1,38,1,3,5,9999,4
28,7,3,2,12,2,99,1,62,1,3,4,9999,4
30,8,1,2,15,2,99,1,33,1,4,5,9999,2
2,8,1,3,1,1,1,1,27,1,4,1,9999,1
6,6,7,3,5,2,99,1,51,1,6,14,2002,1
11,1,1,3,5,2,99,1,25,9,4,5,9999,1
17,10,7,3,18,2,99,1,28,1,4,3,9999,1
19,5,3,3,18,2,99,1,36,1,3,5,9999,3
23,7,5,3,1,1,1,1,30,9,4,99,9999,2
31,7,6,3,1,1,7,1,24,2,1,4,9999,2
2,5,7,4,1,2,99,1,30,9,4,5,9999,1
11,8,3,4,5,2,99,1,25,1,4,1,9999,1
15,5,6,4,20,2,99,1,22,1,4,2,2009,1
23,1,6,4,18,2,99,1,38,9,7,1,2000,1
20,3,6,4,10,2,99,9,999,9,5,6,9999,1
24,7,6,4,1,1,6,1,24,1,4,1,2007,1
30,7,5,4,18,1,99,1,28,9,4,3,9999,1
3,10,7,4,1,1,3,1,30,1,1,7,9999,2
6,5,4,4,18,2,99,1,30,9,4,1,9999,2
11,11,4,4,18,2,99,1,31,9,4,99,9999,2
18,2,4,4,1,1,13,1,28,9,11,2,9999,2
16,12,4,4,1,2,99,1,24,2,1,3,9999,2
30,8,1,4,3,2,99,1,37,1,1,14,9999,2
1,4,4,5,1,2,99,1,28,1,3,1,9999,4
2,4,5,5,17,2,99,1,21,1,4,5,2006,2
4,3,4,6,21,2,99,1,28,9,4,99,9999,1
10,2,3,6,1,1,1,1,35,9,7,99,9999,1
8,12,3,6,1,1,12,1,30,9,4,3,9999,1
14,11,7,6,5,2,99,1,33,1,6,3,1997,1
16,10,6,6,1,2,99,2,60,1,1,1,9999,1
15,11,1,6,5,2,99,1,999,1,4,14,9999,1
15,7,4,6,4,2,99,1,28,1,4,1,9999,1
18,5,2,6,4,2,99,9,999,9,12,14,9999,1
24,1,7,6,5,2,99,1,23,9,4,1,2008,1
31,1,7,6,6,2,99,1,44,1,3,3,1999,1
29,5,6,6,19,2,99,1,30,1,1,6,1995,1
11,11,4,6,5,2,99,1,46,9,3,5,9999,2
8,8,7,6,6,2,99,1,29,9,4,1,2005,2
19,6,6,6,15,2,99,1,30,1,4,1,9999,2
21,11,7,6,14,2,99,1,31,1,3,99,9999,4
28,2,7,6,6,2,99,9,999,9,4,99,9999,4
29,5,6,6,1,1,5,1,30,1,1,99,2002,2
21,4,3,6,22,2,99,1,63,1,99,99,9999,2
10,6,4,7,22,2,99,1,23,1,5,2,2007,1
10,11,3,7,11,2,99,1,64,9,4,3,2007,1
18,10,1,7,14,2,99,1,45,1,4,99,9999,1
14,12,2,7,1,1,12,1,25,9,4,4,2008,1
21,2,7,7,14,2,99,1,999,9,9,3,2007,1
21,11,7,7,1,1,12,1,24,1,4,3,9999,1
28,9,2,7,4,2,99,1,35,1,3,2,2005,1
1,3,1,7,1,1,12,1,22,9,12,1,9999,3
6,10,3,7,1,2,99,1,25,1,5,2,9999,2
5,7,1,7,2,2,99,1,22,1,1,6,1996,4
8,10,5,7,4,2,99,1,28,9,3,14,2003,4
16,9,4,7,17,2,99,1,27,1,4,99,9999,2
16,3,2,7,2,2,99,9,999,9,9,3,2007,3
23,10,6,7,9,2,99,1,18,9,5,99,9999,3
26,9,7,7,1,1,1,9,999,9,9,2,9999,2
27,3,6,7,9,2,99,1,31,1,5,2,9999,1
1,5,6,8,1,1,4,1,37,9,4,5,9999,1
1,9,3,8,1,1,9,1,29,1,12,7,1995,1
9,10,6,8,17,2,99,1,33,9,4,1,9999,1
16,6,3,8,5,2,99,1,50,1,4,1,9999,1
15,11,1,8,5,2,99,9,999,9,4,99,9999,1
26,3,5,8,19,2,99,9,999,9,99,99,9999,1
29,4,4,8,19,2,99,1,31,1,5,2,1997,1
31,7,6,8,2,2,99,1,23,9,4,5,2009,1
5,4,1,8,14,2,99,1,40,1,3,2,1989,4
18,11,4,8,7,2,99,1,18,1,3,9,9999,4
16,7,5,8,18,1,99,1,23,1,4,3,9999,1
18,9,6,8,6,2,99,1,25,9,3,1,9999,2
20,3,6,8,5,2,99,1,32,1,4,5,2007,1
8,4,4,9,1,1,10,2,39,1,1,10,2000,1
11,4,7,9,17,2,99,1,22,1,14,1,2005,1
21,8,6,9,1,1,9,1,21,1,4,1,9999,1
17,4,6,9,1,1,11,1,23,9,4,3,9999,1
2,12,4,9,1,2,99,1,36,9,5,1,9999,2
2,3,2,9,17,2,99,1,20,9,3,5,9999,3
8,9,3,9,5,2,99,1,28,9,4,5,9999,4
13,11,6,9,15,2,99,1,31,9,3,1,1987,3
16,3,2,9,14,2,99,1,53,9,3,10,1987,3
30,5,7,9,5,2,99,1,21,1,2,99,9999,13
30,5,7,9,7,2,99,1,999,1,3,2,9999,13
27,3,6,9,5,2,99,1,21,1,4,3,9999,1
31,7,6,9,18,1,99,1,45,9,3,1,9999,2
3,12,5,10,1,1,10,9,999,9,12,1,9999,1
6,2,6,10,2,2,99,1,30,1,4,4,9999,1
6,5,4,10,6,2,99,1,19,1,3,1,1986,1
10,4,6,10,1,2,99,1,22,1,4,5,9999,1
17,12,5,10,4,2,99,1,43,1,4,1,9999,1
25,6,5,10,22,2,99,1,22,1,1,5,2009,1
24,10,7,10,3,2,99,1,19,9,4,3,9999,1
28,1,4,10,5,2,99,1,63,1,5,2,9999,1
23,5,7,10,4,2,99,9,999,9,12,6,9999,1
21,12,2,10,5,2,99,1,40,1,4,3,9999,1
30,7,5,10,1,1,6,9,999,9,9,7,9999,1
12,12,7,10,9,2,99,1,45,1,2,1,9999,4
17,3,3,10,21,2,99,1,55,9,13,99,9999,4
30,5,7,10,15,2,99,1,19,1,4,5,9999,13
3,12,5,11,1,1,7,1,22,9,11,2,2005,2
2,5,7,11,5,2,99,1,58,1,4,5,9999,1
9,2,2,11,10,2,99,1,40,9,4,1,2006,1
19,6,6,11,21,1,99,1,18,1,4,5,9999,1
27,1,3,11,1,1,4,1,34,9,4,5,9999,1
3,9,5,11,16,1,5,1,24,1,4,1,9999,1
17,1,7,11,14,2,99,1,34,9,4,7,9999,4
14,3,7,11,22,2,99,1,18,9,4,99,9999,2
24,1,7,11,21,2,99,1,32,9,3,1,1987,2
23,5,7,11,4,2,99,1,22,1,3,1,9999,2
21,12,2,11,9,2,99,1,40,1,3,3,9999,3
23,3,2,11,5,2,99,1,35,9,6,2,2006,2
27,12,1,11,15,2,99,1,88,9,3,4,9999,4
4,9,6,12,1,1,12,1,19,1,4,5,2006,1
5,10,2,12,2,2,99,1,23,1,4,5,9999,1
15,3,1,12,4,2,99,1,28,9,4,3,9999,1
24,3,3,12,5,2,99,1,27,9,4,99,9999,2
27,9,1,12,5,2,99,1,19,1,4,14,2005,1
5,12,7,12,10,2,99,1,999,1,3,8,1986,4
4,5,2,12,20,2,99,1,28,1,99,99,9999,4
9,11,2,12,3,2,99,1,33,9,5,7,9999,2
16,6,3,12,4,2,99,1,32,1,5,3,1997,13
20,7,2,12,9,2,99,1,32,1,99,1,1995,2
31,7,6,12,4,2,99,1,28,9,3,2,9999,2
7,11,7,13,15,2,99,1,22,9,4,9,9999,1
14,10,4,13,19,2,99,1,51,9,4,2,2010,1
31,1,7,13,6,2,99,1,32,9,4,1,9999,1
8,1,5,13,19,2,99,1,999,2,1,99,9999,2
4,4,7,13,1,1,99,9,999,9,3,4,9999,3
24,1,7,13,16,2,99,9,999,9,5,2,9999,3
2,10,6,14,1,2,99,1,27,2,4,2,9999,1
1,5,6,14,16,2,99,1,34,1,4,5,9999,1
6,8,5,14,4,2,99,1,40,1,3,6,2005,1
15,5,6,14,5,2,99,1,34,1,4,5,9999,1
27,6,7,14,10,2,99,1,32,1,1,2,1994,1
26,8,4,14,18,2,99,1,27,1,3,5,9999,1
5,5,3,14,1,2,99,1,30,9,11,2,2009,3
13,3,6,14,1,1,13,1,23,9,3,5,9999,4
18,10,1,14,18,2,99,1,28,1,3,1,9999,2
17,8,2,14,13,2,99,1,35,1,13,99,9999,3
24,1,7,14,1,2,99,1,59,9,2,99,9999,2
17,2,3,15,17,2,99,1,30,9,2,99,9999,1
12,10,2,15,12,2,99,1,37,2,4,1,9999,1
13,3,6,15,1,1,1,1,18,9,4,1,9999,1
13,3,6,15,22,1,99,1,20,9,4,2,9999,1
18,10,1,15,17,1,99,1,51,1,4,5,9999,1
20,10,3,15,5,2,99,1,38,1,1,3,9999,1
28,8,6,15,1,2,99,1,70,1,1,4,9999,1
25,4,7,15,10,2,99,9,999,9,5,2,9999,1
26,4,1,15,5,2,99,1,55,1,3,1,9999,1
3,2,3,15,13,2,99,1,37,1,3,5,2007,4
15,11,1,15,1,2,99,1,30,9,5,2,9999,3
20,1,3,15,15,2,99,1,27,9,3,3,9999,4
22,2,1,15,5,2,99,1,42,9,3,2,9999,2
24,6,4,15,22,2,99,1,25,1,1,2,1997,2
20,7,2,15,9,2,99,1,31,2,4,99,9999,2
2,8,1,16,5,2,99,1,46,1,3,9,9999,1
5,1,2,16,9,2,99,1,30,1,3,1,1984,1
8,9,3,16,6,2,99,1,999,2,1,1,1997,1
14,7,3,16,10,2,99,1,46,9,3,2,2003,1
15,9,3,16,22,1,99,1,26,1,4,1,9999,1
20,7,2,16,1,2,99,1,34,9,4,5,9999,1
24,10,7,16,9,2,99,1,40,9,1,2,9999,1
15,4,4,16,5,2,99,1,999,1,12,99,9999,1
26,10,2,16,17,2,99,1,24,9,4,3,9999,1
25,3,4,16,20,2,99,1,43,9,4,99,9999,1
28,8,6,16,22,2,99,1,57,1,1,14,1983,1
30,8,1,16,1,1,8,1,18,1,1,4,2007,1
24,4,6,16,2,2,99,1,26,1,5,2,1988,1
3,1,7,16,15,2,99,1,23,9,3,3,1995,3
9,3,2,16,5,2,99,1,48,9,5,99,9999,2
9,9,4,16,18,2,99,1,55,9,3,14,1980,4
5,4,1,16,12,2,99,1,36,1,3,2,9999,2
12,4,1,16,15,2,99,1,27,1,10,2,9999,4
21,7,3,16,7,2,99,1,33,9,1,10,1992,4
24,7,6,16,13,2,99,1,62,1,99,99,9999,3
4,2,4,17,20,2,99,1,19,9,4,99,9999,1
3,12,5,17,1,2,99,1,29,9,1,6,2000,1
5,9,7,17,17,2,99,1,25,1,4,4,9999,1
9,1,6,17,1,1,12,1,20,9,4,1,9999,1
7,8,6,17,3,2,99,1,28,1,1,5,9999,1
7,5,5,17,22,2,99,1,43,1,3,5,1990,1
20,10,3,17,22,2,99,1,36,9,3,4,9999,1
23,1,6,17,1,1,15,1,28,9,1,2,1999,1
16,3,2,17,10,2,99,1,50,9,4,5,2005,1
17,9,5,17,5,1,99,1,35,1,4,5,9999,1
27,6,7,17,19,2,99,1,25,1,2,5,9999,1
21,8,6,17,1,1,2,1,21,9,4,3,9999,1
24,11,3,17,10,2,99,1,25,1,5,2,1999,1
26,5,3,17,20,2,99,9,999,9,2,9,9999,1
25,9,6,17,10,2,99,1,31,9,4,5,2010,1
3,12,5,17,5,2,99,1,38,9,3,2,2004,3
6,11,6,17,16,2,99,1,28,9,7,99,9999,4
10,11,3,17,19,2,99,1,31,9,1,6,9999,2
11,3,4,17,20,2,99,1,30,9,3,1,9999,2
17,1,7,17,20,2,99,1,60,9,3,4,9999,4
18,1,1,17,13,2,99,9,999,9,3,1,9999,4
27,6,7,17,19,2,99,1,45,1,2,5,2002,3
23,3,2,17,18,2,99,1,28,2,4,99,9999,4
25,3,4,17,21,2,99,1,999,9,5,7,1998,4
25,7,7,17,1,1,99,1,25,9,4,5,2007,2
30,8,1,17,18,2,99,1,43,1,2,6,9999,2
30,8,1,17,17,2,99,1,33,1,2,99,9999,3
1,5,6,18,8,2,99,1,24,1,1,3,9999,1
4,7,7,18,18,2,99,1,34,1,99,99,9999,1
4,5,2,18,17,2,99,1,23,1,3,6,9999,1
19,12,7,18,9,2,99,1,23,9,4,99,2010,1
22,7,4,18,5,2,99,1,38,1,1,6,9999,1
28,10,4,18,6,2,99,1,34,9,4,99,9999,1
9,9,4,18,2,2,99,1,36,2,1,2,2005,1
2,4,5,18,19,2,99,1,36,2,4,5,9999,4
4,4,7,18,1,2,99,1,40,9,2,6,9999,4
13,2,6,18,10,2,99,1,38,9,5,6,9999,4
9,9,4,18,11,2,99,1,43,9,4,99,9999,1
7,4,3,18,18,2,99,1,999,9,6,99,9999,3
16,10,6,18,7,2,99,1,24,1,99,99,9999,3
14,3,7,18,21,2,99,1,20,2,2,4,9999,3
10,4,6,18,22,2,99,1,37,1,5,99,9999,2
20,9,1,18,6,2,99,1,45,1,4,99,9999,2
22,8,7,18,6,2,99,1,35,1,3,10,1996,4
31,7,6,18,2,2,99,1,18,9,4,99,9999,2
1,12,3,19,18,2,99,1,38,9,4,3,9999,1
1,1,5,19,18,2,99,1,54,9,4,99,9999,1
4,10,1,19,20,2,99,1,23,9,4,5,9999,1
5,3,5,19,22,2,99,1,999,9,3,99,9999,1
5,3,5,19,22,2,99,1,30,9,1,6,9999,1
14,2,7,19,1,2,99,1,25,9,4,3,9999,1
15,7,4,19,17,2,99,1,25,1,4,5,9999,1
10,4,6,19,17,2,99,1,72,1,4,1,9999,1
17,8,2,19,16,2,99,1,32,1,3,99,9999,1
21,11,7,19,22,2,99,1,26,9,4,99,9999,1
18,9,6,19,2,1,99,9,999,9,2,1,9999,1
18,9,6,19,2,1,99,1,38,9,2,1,9999,1
25,6,5,19,2,2,99,9,999,9,3,1,9999,1
16,4,5,19,5,2,99,1,25,9,1,11,9999,1
22,4,4,19,8,2,99,1,43,9,3,1,9999,1
29,3,1,19,19,1,99,1,52,1,3,4,2008,1
29,3,1,19,19,1,99,1,38,1,9,2,2009,1
30,7,5,19,6,2,99,1,999,9,1,5,9999,1
30,4,5,19,13,2,99,1,33,2,4,1,9999,1
1,7,4,19,20,2,99,1,35,9,99,99,9999,2
3,4,6,19,19,2,99,1,30,9,4,5,9999,4
10,1,7,19,20,2,99,1,25,9,3,1,9999,3
11,9,6,19,3,2,99,1,49,1,4,99,2009,2
11,5,2,19,12,2,99,1,50,9,1,6,9999,4
19,10,2,19,22,2,99,1,20,1,4,3,9999,2
10,4,6,19,18,2,99,1,35,1,5,2,9999,2
19,12,7,19,8,2,99,1,18,9,1,2,9999,4
20,3,6,19,5,2,99,9,999,9,6,99,9999,1
23,3,2,19,1,1,15,1,62,9,1,11,1977,2
30,11,2,19,18,2,99,1,999,1,4,99,9999,2
2,6,3,20,18,2,99,1,32,1,3,3,9999,1
1,4,4,20,17,1,99,1,40,1,3,6,9999,1
1,4,4,20,14,2,99,9,999,2,2,1,1996,3
3,11,3,20,15,2,99,1,27,1,3,3,9999,1
4,9,6,20,20,2,99,1,28,1,1,4,1997,1
11,2,4,20,22,2,99,1,44,9,3,1,9999,1
5,12,7,20,2,2,99,1,22,1,4,1,9999,1
12,6,6,20,11,2,99,1,24,1,4,5,9999,1
16,1,6,20,17,2,99,1,30,9,4,4,9999,1
14,10,4,20,19,2,99,1,45,9,3,6,9999,1
7,4,3,20,9,1,8,1,33,1,4,5,9999,1
15,3,1,20,18,2,99,1,30,9,4,99,9999,1
21,2,7,20,20,2,99,1,39,9,4,5,9999,1
18,9,6,20,9,2,99,1,24,9,4,99,9999,1
28,10,4,20,5,2,99,1,19,9,4,1,9999,1
24,3,3,20,16,2,99,1,55,9,4,1,1993,1
24,3,3,20,3,2,99,1,999,9,1,3,9999,1
30,8,1,20,4,2,99,1,24,1,3,3,9999,1
29,3,1,20,11,2,99,1,999,9,5,99,9999,1
26,4,1,20,6,2,99,1,55,1,4,9,9999,1
1,1,5,20,22,2,99,1,21,9,4,5,9999,4
1,4,4,20,1,1,4,1,45,9,4,3,9999,2
11,2,4,20,21,2,99,1,23,9,1,1,1985,2
8,10,5,20,5,2,99,2,29,9,3,6,9999,2
8,3,1,20,6,2,99,1,28,9,1,3,2006,4
4,4,7,20,1,1,7,1,26,2,4,5,9999,2
9,11,2,20,20,1,1,1,19,9,4,99,9999,2
8,4,4,20,17,2,99,1,35,1,3,4,9999,3
13,8,5,20,16,2,99,1,29,9,4,99,9999,2
15,3,1,20,17,2,99,1,20,9,4,5,9999,2
17,12,5,20,1,1,9,1,25,9,1,1,9999,2
26,6,6,20,17,2,99,1,26,2,4,1,9999,4
30,1,6,20,1,1,13,1,20,9,4,1,2007,2
24,7,6,20,6,2,99,1,34,1,4,5,9999,2
31,8,2,20,5,2,99,1,38,1,4,9,9999,2
1,4,4,21,9,2,99,1,28,1,4,99,9999,1
6,8,5,21,20,2,99,1,34,1,14,1,9999,1
5,5,3,21,5,2,99,1,23,1,4,1,2007,1
13,11,6,21,9,1,5,1,37,9,1,11,1991,1
11,7,7,21,17,2,99,1,50,1,4,1,9999,1
13,12,1,21,1,1,99,1,30,9,4,3,9999,1
23,1,6,21,8,1,1,1,66,9,3,4,1993,1
17,12,5,21,6,2,99,1,38,1,4,3,9999,1
20,7,2,21,18,2,99,1,999,1,4,1,9999,1
29,1,5,21,5,2,99,1,32,9,4,6,2002,1
28,2,7,21,5,2,99,1,19,9,4,9,9999,1
31,1,7,21,9,2,99,1,52,9,3,3,9999,1
25,12,6,21,9,2,99,1,20,9,4,1,2007,1
27,3,6,21,2,2,99,1,37,1,4,3,2009,1
29,4,4,21,1,1,10,1,25,9,4,3,9999,1
2,5,7,21,5,2,99,1,17,1,9,3,2001,2
4,12,6,21,13,2,99,1,60,1,3,2,1984,4
11,12,6,21,2,2,99,1,45,1,99,2,9999,3
16,7,5,21,5,2,99,1,23,1,4,3,9999,2
22,6,2,21,5,2,99,1,45,1,4,1,9999,4
21,11,7,21,22,2,99,1,40,9,3,4,9999,3
25,2,4,21,6,2,99,1,24,2,3,9,1993,3
27,2,6,21,1,2,99,1,41,9,1,1,9999,1
27,6,7,21,5,2,99,1,26,1,4,5,2008,2
28,3,7,21,1,2,99,1,43,1,14,1,9999,2
3,12,5,22,18,2,99,1,34,9,4,4,9999,1
13,2,6,22,12,2,99,1,25,9,4,5,9999,1
11,7,7,22,6,2,99,1,39,1,4,3,9999,1
11,7,7,22,6,2,99,1,19,1,4,1,9999,1
22,6,2,22,1,1,6,1,21,1,4,3,9999,1
18,9,6,22,1,1,12,1,24,1,4,99,9999,2
15,4,4,22,20,2,99,1,27,1,1,11,2003,1
19,12,7,22,5,1,99,1,23,1,4,1,9999,1
22,3,1,22,6,2,99,1,52,9,3,99,9999,1
25,3,4,22,1,2,99,1,21,9,5,2,9999,2
31,3,3,22,18,2,99,1,26,1,4,5,9999,1
4,7,7,22,17,2,99,1,46,1,3,5,9999,3
11,6,5,22,16,2,99,9,999,1,5,99,9999,3
20,2,6,22,1,1,18,1,25,9,4,99,9999,2
16,3,2,22,1,1,18,1,23,9,1,11,9999,2
24,10,7,22,1,2,99,9,999,9,3,2,9999,2
26,10,2,22,3,2,99,1,48,9,5,9,9999,3
22,3,1,22,20,2,99,1,50,9,6,7,9999,3
30,9,4,22,18,2,99,1,33,9,4,99,9999,2
1,10,5,23,1,1,5,1,26,1,4,5,9999,1
2,6,3,23,1,1,8,1,29,2,1,8,9999,1
3,12,5,23,1,1,12,1,20,9,3,99,9999,1
4,6,5,23,1,2,99,9,999,9,6,99,9999,1
11,7,7,23,1,1,11,1,30,9,1,4,9999,1
11,12,6,23,5,2,99,1,30,2,4,4,9999,1
17,9,5,23,5,1,99,1,44,1,3,1,9999,1
17,12,5,23,2,2,99,1,28,1,1,5,1986,1
21,8,6,23,17,2,99,1,28,1,3,5,2009,1
1,6,2,23,5,2,99,1,41,1,1,9,1998,4
2,8,1,23,3,2,99,1,30,1,3,1,9999,2
3,8,2,23,1,1,9,1,38,9,5,3,9999,2
9,3,2,23,14,2,99,1,57,9,6,2,9999,2
13,6,7,23,21,2,99,1,32,1,3,2,9999,2
12,9,7,23,1,1,11,1,34,9,4,3,9999,2
17,6,4,23,1,1,12,1,24,1,99,6,1994,3
18,10,1,23,10,2,99,1,65,1,2,3,1992,2
17,12,5,23,19,2,99,1,50,9,4,7,1995,2
19,5,3,23,6,2,99,1,24,1,3,2,9999,3
30,6,3,23,5,2,99,1,23,2,4,3,1996,2
26,8,4,23,1,1,15,1,30,1,1,99,9999,2
29,7,4,23,16,2,99,1,29,2,4,99,9999,4
28,10,4,7,1,2,99,9,999,9,12,99,9999,4
18,7,7,15,15,2,99,1,35,1,3,2,1986,1
29,5,6,22,1,2,99,1,999,1,3,5,9999,13
5,4,1,3,16,2,99,1,999,1,3,4,1993,4
19,12,7,15,17,1,99,2,19,9,4,99,9999,1
18,6,5,16,15,2,99,1,40,1,2,4,2008,1
29,6,2,18,14,2,99,1,18,1,2,5,9999,1
27,12,1,8,14,2,99,1,17,1,3,5,9999,3
7,2,7,17,20,2,99,2,46,9,3,2,9999,1
24,8,2,0,15,2,99,1,31,2,3,2,9999,4
